player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,2026-03-21,16:51:59,6,2,"Meyer, Myles",701723,Right,MCN_COW,"Watts, Dane",10118795,Left,SOU_LIO,Undefined,9,Top,2,1,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.01571,-2.630739,-0.71801,2728.558763,25.551017,06:45:00,6.24432,1.77104,5.47658,-42.3542,-2.59291,-1.7526,0.2511,0.95306,78.59037,-10.261863,-1.031329,0.453839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72311,-0.43862,-1.7067,50,5.98349,1.59931,-122.08991,-7.12456,1.10437,21.37823,-32.84392,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,2ff8b7b0-2570-11f1-a008-ab60c0a5ae81,83.05247,NA,NA,5.42533,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,21:51:59,2026-03-21T21:51:59Z,2026-03-21T21:51:59Z,NA,v3,643-145297,471445,NA,"Fontenot, Seth",1000362324,Right,MCN_COW,5c628c41-7c06-4010-ae97-b302817c4427,55.02889,-122.96733,10.68912,6.24824,-5.77656,-16.42196,-1.77141,1.55399,0.55218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,2026-03-21,17:00:13,1,1,"Fabre, Larson",1000180520,Left,SOU_LIO,"Heusohn, Marcus",1000114413,Left,MCN_COW,Undefined,9,Bottom,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.76868,-1.12568,3.718161,2069.539777,137.495047,10:30:00,5.59547,-1.37286,6.03624,-20.02143,16.09635,-13.70387,2.8823,0.93304,80.25884,-4.912653,1.258647,0.432545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05662,8.93481,1.08947,50,5.49648,-7.71156,-127.2955,-3.09642,13.24184,25.7185,-17.48882,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,56c2dfa0-2571-11f1-a008-ab60c0a5ae81,87.14099,NA,NA,7.50984,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:00:13,2026-03-21T22:00:13Z,2026-03-21T22:00:13Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,062046d7-50a5-474e-a466-6c97f7da03ca,54.46498,-128.19441,12.85925,5.59403,-2.48514,-8.74441,1.36709,-8.17439,6.62092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,2026-03-21,17:00:29,1,2,"Fabre, Larson",1000180520,Left,SOU_LIO,"Heusohn, Marcus",1000114413,Left,MCN_COW,Undefined,9,Bottom,0,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.13064,-3.265044,5.363767,2061.731198,134.277978,10:30:00,5.557,-1.54174,6.34202,-18.42194,17.7295,-16.80934,0.99932,2.01022,79.55126,-6.802389,2.339078,0.432747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.37934,10.62662,1.1577,50,5.30937,-11.26625,-127.23694,-7.76962,16.79639,29.2391,-14.97749,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,601cac20-2571-11f1-a008-ab60c0a5ae81,87.10039,NA,NA,8.57938,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:00:29,2026-03-21T22:00:29Z,2026-03-21T22:00:29Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,432419d9-dde9-420e-9c9e-124543653736,54.15723,-128.18872,14.61955,5.55435,-7.28208,-7.48874,1.53333,-11.813,8.3982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,2026-03-21,17:00:45,1,3,"Fabre, Larson",1000180520,Left,SOU_LIO,"Heusohn, Marcus",1000114413,Left,MCN_COW,Undefined,9,Bottom,0,1,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.35112,-0.43111,2.166431,2460.365975,263.21321,02:45:00,5.3054500000000004,-1.95591,5.86427,-42.17341,2.74618,10.20768,1.3902,0.90832,72.34486,-8.202905,3.997196,0.48238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.5654,1.96658,1.77413,50,5.24598,-4.73603,-115.11412,-2.19145,-6.04853,23.8897,-29.5686,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,69c97aa0-2571-11f1-a008-ab60c0a5ae81,78.13846,NA,NA,7.00625,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:00:45,2026-03-21T22:00:45Z,2026-03-21T22:00:45Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,d4905430-d5ff-4c51-97c2-d2716950f6a9,54.63702,-116.07246,11.94485,5.3101,-1.00531,-14.7843,1.95925,-4.49339,-3.02427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,2026-03-21,17:01:01,1,4,"Fabre, Larson",1000180520,Left,SOU_LIO,"Heusohn, Marcus",1000114413,Left,MCN_COW,Undefined,9,Bottom,0,2,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.25946,-2.598671,4.027431,2039.0544400000001,133.606535,10:30:00,5.59488,-1.80273,6.32527,-18.78867,17.08127,-16.56749,1.62831,0.53189,79.75752,-6.201812,1.038009,0.431059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.87339,10.07764,1.5156,50,5.3955,-8.3332,-127.76044,-6.31518,16.11243,29.43795,-15.72827,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,732b5d70-2571-11f1-a008-ab60c0a5ae81,87.44148,NA,NA,8.50193,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:01:01,2026-03-21T22:01:01Z,2026-03-21T22:01:01Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,d54c9118-0aba-40ce-a9e8-f42d3d127b17,54.17493,-128.71881,14.71897,5.59276,-5.80313,-7.86414,1.79544,-8.85775,8.05621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,2026-03-21,17:01:18,1,5,"Fabre, Larson",1000180520,Left,SOU_LIO,"Heusohn, Marcus",1000114413,Left,MCN_COW,Undefined,9,Bottom,0,2,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.36303,-1.511216,4.737793,2271.80102,147.290555,11:00:00,5.56795,-1.81242,6.00168,-16.67462,18.74241,-11.22481,2.77297,1.6523,80.68252,-4.715636,2.729836,0.428329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.20398,10.44465,1.44483,50,5.43948,-10.23169,-129.23359,-3.87583,12.05156,29.6493,-14.70116,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,7d45e1e0-2571-11f1-a008-ab60c0a5ae81,87.9988,NA,NA,8.68051,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:01:18,2026-03-21T22:01:18Z,2026-03-21T22:01:18Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,83a68936-3bb2-4100-924c-ad82bdf0c55c,54.49717,-130.26126,14.82465,5.56499,-3.36627,-7.35058,1.80671,-10.6494,6.02578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,2026-03-21,17:01:33,1,6,"Fabre, Larson",1000180520,Left,SOU_LIO,"Heusohn, Marcus",1000114413,Left,MCN_COW,Undefined,9,Bottom,0,3,2,Undefined,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,87.26811,-3.45616,4.750484,2233.04028,141.96165,10:45:00,5.49912,-1.66461,6.27097,-16.46336,20.13084,-14.76875,0.92604,1.49425,79.47485,-6.620034,2.093515,0.435389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.06926,11.83934,1.31948,50,5.23414,-9.91197,-126.19731,-8.06484,14.56597,26.65831,-13.15913,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,8694d8f0-2571-11f1-a008-ab60c0a5ae81,86.57184,NA,NA,7.79327,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:01:33,2026-03-21T22:01:33Z,2026-03-21T22:01:33Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,2bd2e81c-1da9-441c-9d7e-a9c8d41c45d0,54.23065,-127.08786,13.32916,5.49621,-7.62524,-6.57956,1.65873,-10.39856,7.28299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,2026-03-21,17:05:15,2,1,"Todorowski, Triston",1000221133,Right,SOU_LIO,"Edwards, Larry",1000362321,Right,MCN_COW,Undefined,9,Bottom,0,0,0,Undefined,NA,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,fd0484e1-2571-11f1-a008-ab60c0a5ae81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:05:15,2026-03-21T22:05:15Z,2026-03-21T22:05:15Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,fd0484e0-2571-11f1-a008-ab60c0a5ae81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,2026-03-21,17:05:50,3,3,"Todorowski, Triston",1000221133,Right,SOU_LIO,"Pinkerton, Dj",1000275237,Right,MCN_COW,Undefined,9,Bottom,1,2,0,Undefined,NA,BallIntentional,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,f740b450-2609-11f1-be10-7b45521a5247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:05:50,2026-03-21T22:05:50Z,2026-03-21T22:05:50Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,f52c11b8-a66f-45b4-831e-6b26ef1cae4f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,2026-03-21,17:06:07,3,4,"Todorowski, Triston",1000221133,Right,SOU_LIO,"Pinkerton, Dj",1000275237,Right,MCN_COW,Undefined,9,Bottom,1,3,0,Undefined,NA,BallIntentional,Walk,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,f740b451-2609-11f1-be10-7b45521a5247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:06:07,2026-03-21T22:06:07Z,2026-03-21T22:06:07Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,20f51672-7b0d-424f-9345-d3583a90c3d1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,2026-03-21,17:06:23,4,1,"Todorowski, Triston",1000221133,Right,SOU_LIO,"Keller, Isaiah",830099,Left,MCN_COW,Undefined,9,Bottom,1,0,0,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,78.51333,-0.029426,-0.317809,2588.182876,58.384219,08:00:00,5.79867,0.2716,6.28019,-48.85924,-3.5978,-8.43465,1.69994,-0.72423,71.38275,-9.085054,-1.846575,0.484212,83.78946,-16.623076,70.896641,NA,NA,NA,NA,7.81887,4.00793,54.350374,0.052444,4.29894,-1.43713,-0.24414,50,5.77307,0.92892,-114.04824,-1.51282,5.56228,24.42432,-34.03349,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,336fa410-2572-11f1-a008-ab60c0a5ae81,77.84283,1.84699,NA,7.13058,NA,NA,NA,2.53237,1.84699,0.50776,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:06:23,2026-03-21T22:06:23Z,2026-03-21T22:06:23Z,GroundBall,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,f2644402-234b-46b8-9dae-1c3c456bad1a,54.22188,-114.94884,12.21216,5.80572,-0.25792,-17.01675,-0.27461,0.72382,2.78114,NA,2.53179,38.60649,NA,NA,NA,NA,NA,NA,NA,1.84752,-35.21835,NA,NA,NA,NA,NA,NA,NA,0.5061,111.46776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,2026-03-21,17:06:52,4,2,"Todorowski, Triston",1000221133,Right,SOU_LIO,"Keller, Isaiah",830099,Left,MCN_COW,Undefined,9,Bottom,1,0,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.91789,-2.92791,-0.238443,2123.694925,186.503113,12:15:00,5.72346,0.56294,7.06522,-13.80249,20.57761,2.19988,1.91224,0.52975,80.07045,-5.667047,0.165335,0.422012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24992,12.33288,-0.54912,50,5.54201,0.45642,-129.06129,-6.84494,-2.06872,31.55324,-11.76216,MCN_COW,SOU_LIO,JoeMillerBallpark,D1,SLAND,20260321-JoeMillerBallpark-1,44586820-2572-11f1-a008-ab60c0a5ae81,89.31603,NA,NA,8.84744,NA,NA,NA,NA,NA,NA,023f6a30-b778-40c0-ac71-63ab49c551c9,2026-03-21,22:06:52,2026-03-21T22:06:52Z,2026-03-21T22:06:52Z,NA,v3,643-145297,471445,NA,"Priester, Blaise",700254,Right,SOU_LIO,faf67247-276b-4d65-bd76-7fb14e75474f,53.43286,-129.89786,15.77662,5.71936,-6.53309,-5.88108,-0.56195,0.51127,-1.03436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
