player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-10,18:03:32,1,1,"Kranzler, Alex",702962,Right,VAN_COM,"Alonso, Marcelino",1000432786,Right,IND_SYC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.11351,-2.327592,-3.367019,2085.576436,224.39167,01:30:00,5.89752,2.25475,5.67828,-19.60592,12.43383,11.33272,2.08899,0.05682,86.57559,-5.956006,-1.344731,0.407395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.53426,7.12697,-1.97804,50,5.68855,7.45128,-135.17415,-6.19512,-12.31435,24.33733,-18.7427,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,5c628bd0-1cd5-11f1-9050-dffcab4aad37,92.5206,NA,NA,6.53792,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:03:32,2026-03-10T23:03:32Z,2026-03-10T23:03:32Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,eeb40a18-4882-4b18-bed5-eeeff3cf8e29,54.82151,-136.03946,12.16866,5.89698,-5.52872,-9.37135,-2.25075,7.88912,-6.15718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-10,18:04:29,1,2,"Kranzler, Alex",702962,Right,VAN_COM,"Alonso, Marcelino",1000432786,Right,IND_SYC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,93.02461,-2.906337,-3.108187,2041.649231,224.785856,01:30:00,5.84752,2.33559,5.69811,-19.50745,12.80985,11.78099,1.50732,0.41815,85.95731,-6.527763,-1.003916,0.409156,96.04135,-5.968918,-36.085302,NA,NA,NA,NA,20.9618,18.60606,-32.023339,0.138014,-6.82536,7.54185,-2.08228,50,5.59093,6.81582,-134.94016,-7.53929,-12.71585,26.50014,-18.12338,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,7e85dd70-1cd5-11f1-9050-dffcab4aad37,92.12241,1.7553,NA,7.06731,NA,NA,NA,2.48936,1.7553,-0.34953,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:04:29,2026-03-10T23:04:29Z,2026-03-10T23:04:29Z,GroundBall,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,9031a9fa-2772-4019-b0bd-fe8f54d6ae37,54.80204,-135.87993,13.25007,5.8469,-6.89658,-9.06169,-2.33198,7.26676,-6.35793,215.576224,2.48962,113.1937,-17.85584,NA,NA,NA,NA,NA,NA,1.75395,-14.5175,13.17619,NA,NA,NA,NA,NA,NA,-0.35089,-82.38511,31.87795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-10,18:05:08,2,1,"Kranzler, Alex",702962,Right,VAN_COM,"Estrella, Emil",1000275240,Right,IND_SYC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.76083,-2.284197,-4.099609,2074.174966,220.853377,01:15:00,5.79424,2.28163,5.79256,-18.57032,13.85296,11.16209,2.11538,-0.60816,85.59236,-5.751684,-2.10673,0.409826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.69744,7.9276,-1.95053,50,5.59457,9.1442,-134.46466,-5.9976,-12.39827,26.12419,-17.49853,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,959ca980-1cd5-11f1-9050-dffcab4aad37,91.97171,NA,NA,7.16848,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:05:08,2026-03-10T23:05:08Z,2026-03-10T23:05:08Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,7d4e5ee6-836d-442d-be13-ae537e289830,54.70587,-135.37584,13.0621,5.79312,-5.38727,-8.74926,-2.27701,9.57664,-6.19913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-10,18:05:21,2,2,"Kranzler, Alex",702962,Right,VAN_COM,"Estrella, Emil",1000275240,Right,IND_SYC,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,80.21883,-0.422124,-3.003365,2356.564415,100.425238,09:15:00,5.44066,2.71247,5.3535,-40.43616,3.27788,-11.68257,1.67453,-1.08039,74.99503,-7.737051,-5.07481,0.475863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20303,2.08791,-2.43348,50,5.37348,6.57238,-116.53049,-2.25295,7.2661,18.69562,-29.25828,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,9db25d40-1cd5-11f1-9050-dffcab4aad37,79.2086,NA,NA,5.2238,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:05:21,2026-03-10T23:05:21Z,2026-03-10T23:05:21Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,6d3080ba-3a74-4396-a9df-37659ca4b2e9,55.14702,-117.35334,9.34781,5.4443,-0.96519,-14.62914,-2.71572,6.25258,3.63305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-10,18:05:38,2,3,"Kranzler, Alex",702962,Right,VAN_COM,"Estrella, Emil",1000275240,Right,IND_SYC,Undefined,1,Top,1,0,2,Sinker,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,93.34257,-1.284401,-4.414604,2142.34816,230.022117,01:45:00,5.87451,2.24422,5.32734,-20.48615,11.93729,13.17052,2.95837,-0.80875,86.42509,-5.058367,-2.084871,0.409827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.61122,6.56634,-1.85421,50,5.74335,9.82712,-135.31767,-3.81203,-14.34782,24.91235,-19.79593,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,a7c71550-1cd5-11f1-9050-dffcab4aad37,91.97151,NA,NA,6.91748,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:05:38,2026-03-10T23:05:38Z,2026-03-10T23:05:38Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,b901318f-0376-418a-9567-9d34ad9a88b0,55.1717,-136.26647,12.45617,5.87418,-3.05809,-9.89797,-2.23888,10.37356,-7.17391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94024,2.925893,1.940224,0.985669,-2.04101,2.64384,0.93009,-0.42449,5.47859,5.68261,71.94525,6.30356,52.82663,-0.37417,80.43528,-7.17703,5.5027,14.65091,-14.04434,5.67298,47.8122,0.02932,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-10,18:06:05,3,1,"Kranzler, Alex",702962,Right,VAN_COM,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,2,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.93794,-0.095772,-3.826969,2467.528726,155.883493,11:15:00,5.6755,2.50169,5.39193,-29.12234,6.93784,-2.6102,3.15868,-1.30776,81.53016,-5.438094,-4.289203,0.432201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26346,3.86421,-2.15776,50,5.64662,8.73701,-128.85321,-1.2966,0.44385,26.2612,-25.66407,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,b77165f0-1cd5-11f1-9050-dffcab4aad37,87.21052,NA,NA,7.40778,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:06:05,2026-03-10T23:06:05Z,2026-03-10T23:06:05Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,29c4bc26-8ee2-4072-9e7a-9149b68c8970,55.10452,-129.88938,13.1306,5.67781,-0.28399,-12.83204,-2.50215,8.7195,0.22192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-10,18:06:20,3,2,"Kranzler, Alex",702962,Right,VAN_COM,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,2,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.02374,1.714649,0.139913,2563.612691,48.892166,07:45:00,5.61934,2.73105,5.37374,-61.93011,-13.90237,-17.61336,2.06648,1.39444,70.98812,-9.49177,-2.998685,0.49879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86741,-6.99201,-2.73081,50,5.72897,0.41471,-111.91201,1.19997,11.21286,20.74801,-41.0155,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,c09ea430-1cd5-11f1-9050-dffcab4aad37,75.5678,NA,NA,6.03562,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:06:20,2026-03-10T23:06:20Z,2026-03-10T23:06:20Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,dc428ce4-b9a0-4488-8de2-3d1787780db7,55.12951,-112.859,10.374,5.63148,3.072,-20.50775,-2.73806,-0.09707,5.60643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-10,18:06:34,3,3,"Kranzler, Alex",702962,Right,VAN_COM,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,2,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.48399,-0.939333,-2.177428,2473.004589,185.351923,12:15:00,5.51073,2.78948,5.55407,-32.45899,4.94807,0.36669,1.92743,0.78456,80.25454,-6.871549,-2.112029,0.440198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71437,3.05591,-2.60146,50,5.40791,4.76252,-125.66266,-3.22432,-1.15647,22.49756,-27.22686,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,c8c80700-1cd5-11f1-9050-dffcab4aad37,85.62605,NA,NA,6.22945,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:06:34,2026-03-10T23:06:34Z,2026-03-10T23:06:34Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,588e921b-50e6-496e-aa05-8a7c65b01f01,54.94492,-126.54486,11.24878,5.51341,-2.15668,-13.61343,-2.78911,4.80787,-0.57824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-10,18:06:49,3,4,"Kranzler, Alex",702962,Right,VAN_COM,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,2,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.1985,-1.193048,-3.395478,2244.813614,224.078386,01:30:00,5.66661,2.56971,5.78902,-19.2345,12.87473,11.54981,2.95178,0.36983,85.74907,-4.789437,-1.330963,0.407837,77.5259,60.706844,-100.167512,5232.189736,NA,NA,NA,NA,26.16757,NA,NA,-6.80689,7.17426,-2.29711,50,5.55666,7.52468,-135.2775,-3.47663,-12.71427,27.30518,-18.77359,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,d1a68900-1cd5-11f1-9050-dffcab4aad37,92.42044,43.26803,NA,7.44944,NA,NA,NA,1.44203,3.10183,-0.42326,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:06:49,2026-03-10T23:06:49Z,2026-03-10T23:06:49Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,fa0595a6-64d4-48cf-940f-fa3dcd7eeb13,54.7106,-136.22499,13.65259,5.666,-2.82518,-9.38679,-2.56587,7.96587,-6.35714,27.073448,1.46357,-10.43317,-8.44323,NA,NA,NA,NA,NA,NA,3.12545,98.50067,-30.31683,NA,NA,NA,NA,NA,NA,-0.42345,-54.75815,4.2565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-10,18:07:06,3,5,"Kranzler, Alex",702962,Right,VAN_COM,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,2,2,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,89.34279,-1.529724,-4.15695,2525.257026,203.613007,12:45:00,5.58371,2.60433,5.56194,-29.37356,6.08103,2.19028,1.70271,-1.10348,82.25506,-6.910207,-3.767662,0.428556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.20831,3.81973,-2.2465,50,5.43205,9.31076,-129.42772,-4.53905,-3.76347,25.82766,-25.66443,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,dbf14530-1cd5-11f1-9050-dffcab4aad37,87.95218,NA,NA,7.08773,NA,NA,NA,NA,NA,NA,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:07:06,2026-03-10T23:07:06Z,2026-03-10T23:07:06Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Reynolds, Korbin",828066,Right,VAN_COM,d12eae23-0fa5-4ede-9f3a-ceab37685726,54.9356,-130.40891,12.91383,5.58597,-3.56406,-12.83221,-2.60293,9.45374,-1.88173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.70881,NA,NA,1.051001,NA,NA,NA,1.99231,5.11957,0.38873,70.23824,7.03474,54.53337,2.0388,71.97415,-6.78448,5.15634,18.03341,-15.49497,0.39017,53.33816,-1.73517,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-03-10,18:09:31,1,1,"Johnsen, Spencer",1000304486,Left,IND_SYC,"Rigdon, Rustan",815527,Right,VAN_COM,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,88.00775,-0.924052,3.007093,2081.033163,155.598209,11:15:00,5.56521,-1.34799,5.84022,-16.05328,20.42477,-8.69697,3.3674,0.72452,79.69982,-4.012602,1.450916,0.434698,86.9662,76.456782,-36.224713,NA,NA,NA,NA,NA,21.03951,NA,NA,5.36418,11.09068,1.10813,50,5.48066,-6.33726,-127.57605,-2.49948,8.76647,28.30071,-14.04902,VAN_COM,IND_SYC,Vanderbilt,D1,SEC,20260310-Vanderbilt-1,32bcf760-1cd6-11f1-9050-dffcab4aad37,86.70957,113.77434,NA,8.30793,NA,NA,NA,1.67453,3.38545,-0.71797,d6964916-0cad-45fa-9a0f-a88f3c7e06df,2026-03-10,23:09:31,2026-03-10T23:09:31Z,2026-03-10T23:09:31Z,NA,v3,5046,471319,b92fdc3850e247659fafdced0004113a,"Martinez, Jeremy",1000317474,Right,IND_SYC,99f8973d-1ca9-402f-a865-9ca1ece6d8c2,54.65626,-128.60482,14.15035,5.56223,-1.98878,-7.02451,1.34429,-6.65594,4.38324,NA,1.67453,24.0975,-15.4249,5.75758,-3.47389,4.56214,-4.27459,2.09115,-0.41275,3.38545,124.00337,-30.84921,3.80472,-0.3049,-0.65369,0.77532,-0.40436,0.08242,-0.71797,-17.65221,7.62938,-2.66377,1.52258,-1.96617,1.83683,-0.89756,0.17703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
