player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-06,12:59:35,1,1,"Muniz, Ethan",1000471507,Right,ANG_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.98222,-2.213093,-2.357887,2430.981581,205.609437,12:45:00,5.75007,2.22269,5.31824,-15.10497,20.67977,9.28839,2.41141,0.78246,81.15285,-5.103912,-0.710436,0.430547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.37063,11.40587,-2.01583,50,5.53896,4.9289,-130.22233,-5.48632,-9.10744,30.52342,-12.83221,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,9eeae280-198e-11f1-9eb6-7b9fa60c9420,87.5455,NA,NA,8.82937,NA,NA,NA,NA,NA,NA,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,18:59:35,2026-03-06T18:59:35Z,2026-03-06T18:59:35Z,NA,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,b65694dc-7568-4b93-99ea-f005c1938998,55.18083,-131.43108,15.26171,5.74616,-4.97816,-6.41611,-2.21816,5.28956,-4.55372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-06,12:59:50,1,2,"Muniz, Ethan",1000471507,Right,ANG_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.19838,-3.011489,-3.5441,2436.82189,192.66553,12:30:00,5.66759,2.08626,5.44493,-16.7769,18.86056,3.94146,1.44172,-0.90803,81.30494,-6.195393,-2.844762,0.42966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.10421,10.81221,-1.77529,50,5.3895,7.88739,-130.29657,-7.38267,-5.25954,31.06102,-13.85462,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,a7665cf0-198e-11f1-9eb6-7b9fa60c9420,87.72621,NA,NA,8.89344,NA,NA,NA,NA,NA,NA,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,18:59:50,2026-03-06T18:59:50Z,2026-03-06T18:59:50Z,NA,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,900ecdec-72ee-4e48-965e-cfc9d2f6bcf2,55.05311,-131.49565,15.53051,5.66418,-6.84783,-6.92731,-2.08369,8.09043,-2.62977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-06,13:00:09,1,3,"Muniz, Ethan",1000471507,Right,ANG_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Top,0,1,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,89.12044,-1.370244,-3.220183,2433.640714,208.6325,01:00:00,5.66978,2.25719,5.38036,-19.06505,16.90103,8.59343,2.79418,-0.0487,81.35359,-4.942919,-1.696003,0.431636,91.72772,-1.798822,-15.057737,2285.213994,NA,NA,NA,36.04285,34.03775,-15.365127,0.271546,-5.23154,9.22591,-1.97496,50,5.53379,6.8844,-129.15418,-3.72893,-8.83517,26.93897,-16.59301,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,b2f33610-198e-11f1-9eb6-7b9fa60c9420,87.32452,2.78125,NA,7.76685,NA,NA,NA,0.65571,2.78125,0.01279,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:00:09,2026-03-06T19:00:09Z,2026-03-06T19:00:09Z,GroundBall,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,65d9b5a8-9ace-4965-aace-dbe67390963c,55.12183,-130.21811,13.46949,5.66812,-3.0736,-8.29651,-2.25375,7.23334,-4.41759,37.370509,0.65698,129.78862,-15.55801,NA,NA,NA,NA,NA,NA,2.78352,-4.33361,-21.82011,NA,NA,NA,NA,NA,NA,0.01344,-34.96568,-0.94307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-06,13:00:43,2,1,"Muniz, Ethan",1000471507,Right,ANG_COL,"Dick, Dalton",1000393116,Left,PAR_JUN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.22116,-1.624215,-2.299249,2456.432501,214.296088,01:15:00,5.76144,2.23254,5.29522,-16.68284,18.13462,11.67477,2.8445,1.04537,83.1389,-4.745771,-0.228896,0.424688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.40646,9.79532,-2.03195,50,5.60154,4.72283,-130.95457,-4.27297,-11.2433,24.90021,-14.98336,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,c6fb6290-198e-11f1-9eb6-7b9fa60c9420,88.75326,NA,NA,7.08226,NA,NA,NA,NA,NA,NA,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:00:43,2026-03-06T19:00:43Z,2026-03-06T19:00:43Z,NA,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,57421745-dc46-4e08-b4fd-b09e67a7ab22,55.20741,-131.94101,12.4501,5.75906,-3.67939,-7.49168,-2.22786,5.16824,-5.62165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-06,13:00:56,2,2,"Muniz, Ethan",1000471507,Right,ANG_COL,"Dick, Dalton",1000393116,Left,PAR_JUN,Undefined,1,Top,1,0,1,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,80.90098,-0.435068,-2.986768,1679.610141,258.443965,02:30:00,5.4225,2.19476,5.47308,-38.3149,5.41044,19.19454,1.82187,0.99659,73.69831,-7.47488,0.431215,0.475924,83.28464,18.545411,-7.012799,3256.216847,108.03546,27.36366,-20.69633,271.72958,271.72958,-14.715392,3.031242,-10.60312,3.27599,-1.94563,50,5.3581,5.34782,-117.27618,-2.18275,-14.65402,23.764,-27.64648,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,cef8d360-198e-11f1-9eb6-7b9fa60c9420,79.19838,29.16695,NA,7.20267,NA,NA,NA,1.11406,1.87298,-1.01252,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:00:56,2026-03-06T19:00:56Z,2026-03-06T19:00:56Z,LineDrive,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,48004005-f7d2-4dd8-84e1-70df991b5653,55.03007,-118.29105,11.882,5.42611,-1.00208,-13.82324,-2.18738,5.97364,-7.32701,133.630552,1.11392,114.94692,-16.64602,3.96223,-0.92071,0.25588,-0.07449,0.01476,-0.00124,1.87321,38.84189,-14.16219,-0.08414,0.44512,-0.24677,0.08827,-0.01622,0.00114,-1.01256,-14.13765,-5.7441,1.93243,-0.56611,0.15472,-0.03846,0.00651,-4.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-06,13:01:35,3,1,"Muniz, Ethan",1000471507,Right,ANG_COL,"Lembcke, Bankston",1000393129,Right,PAR_JUN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.72598,-1.759491,-4.391179,2404.747826,206.074128,12:45:00,5.63007,2.44535,5.3322,-17.64292,19.83623,9.07985,2.50349,-0.92638,79.66239,-5.09308,-2.786169,0.440622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.81587,10.81729,-2.05448,50,5.45835,9.3319,-126.83903,-4.45563,-9.43153,27.04477,-14.63182,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,e63290c0-198e-11f1-9eb6-7b9fa60c9420,85.54369,NA,NA,8.06358,NA,NA,NA,NA,NA,NA,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:01:35,2026-03-06T19:01:35Z,2026-03-06T19:01:35Z,NA,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,351b46d2-324d-4fc8-85e1-ea34cdc4ddea,55.16803,-127.93622,13.52239,5.62707,-3.86202,-7.31591,-2.44083,9.71453,-4.71577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-06,13:01:50,3,2,"Muniz, Ethan",1000471507,Right,ANG_COL,"Lembcke, Bankston",1000393129,Right,PAR_JUN,Undefined,1,Top,1,0,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,86.1366,-1.73745,-4.41597,2369.344395,214.709461,01:15:00,5.57127,2.63256,5.369,-18.77552,20.45568,13.14579,2.37213,-0.4209,77.39803,-5.309688,-2.089792,0.450803,96.65575,31.179489,-3.898708,3660.897036,109.88083,60.48074,-5.10866,384.04347,382.95987,-0.562447,5.200856,-8.11248,11.28461,-2.24554,50,5.40237,9.04601,-124.44174,-4.35685,-12.50803,28.87475,-14.77519,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,ef6aa470-198e-11f1-9eb6-7b9fa60c9420,83.6117,88.59087,NA,8.73858,NA,NA,NA,2.96146,2.56252,0.33434,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:01:50,2026-03-06T19:01:50Z,2026-03-06T19:01:50Z,FlyBall,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,7e40288a-2a1c-4a5a-b365-cc96a0bf341a,55.13254,-125.62703,14.43738,5.56877,-3.75034,-7.3876,-2.62741,9.55945,-6.25402,191.683389,2.96329,120.9693,-20.76876,4.62821,-0.91308,0.16952,-0.02809,0.00317,-1.6e-4,2.56204,73.39479,-17.83536,1.15933,-0.02365,-0.08366,0.02944,-0.00415,2.2e-4,0.33362000000000003,-8.23264,3.62498,-0.89114,0.18009,-0.03211,0.00473,-4.8e-4,2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-06,13:02:27,4,1,"Muniz, Ethan",1000471507,Right,ANG_COL,"Gonzalez, Diego",1000511496,Left,PAR_JUN,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.60425,-1.961098,-2.863219,2307.239785,202.355698,12:45:00,5.61395,2.71175,5.30374,-19.45292,19.09816,7.29418,2.14875,0.62934,78.42396,-5.625673,-1.570605,0.446879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.53114,10.55926,-2.45691,50,5.42193,5.94695,-125.35187,-4.91467,-7.14105,27.58968,-15.53278,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,055832c0-198f-11f1-9eb6-7b9fa60c9420,84.34599,NA,NA,8.18029,NA,NA,NA,NA,NA,NA,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:02:27,2026-03-06T19:02:27Z,2026-03-06T19:02:27Z,NA,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,c9129466-bccc-49fd-95e6-566c9298db9a,55.19648,-126.49044,13.79484,5.61152,-4.27366,-7.76639,-2.70841,6.24164,-3.57053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-06,13:02:42,4,2,"Muniz, Ethan",1000471507,Right,ANG_COL,"Gonzalez, Diego",1000511496,Left,PAR_JUN,Undefined,1,Top,2,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.87123,0.662848,-0.936957,2204.437901,209.763872,01:00:00,5.65642,2.67272,5.58578,-18.22284,20.74186,11.0465,4.75699,2.71817,77.0214,-2.840072,1.03352,0.44927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.82756,10.63284,-2.59929,50,5.70186,1.54725,-124.41628,0.93393,-8.98042,28.8879,-15.78858,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,0e5c1710-198f-11f1-9eb6-7b9fa60c9420,83.89712,NA,NA,8.84984,NA,NA,NA,NA,NA,NA,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:02:42,2026-03-06T19:02:42Z,2026-03-06T19:02:42Z,NA,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,08bf0bdb-9157-4284-90ec-564441868767,54.91119,-125.55142,14.44395,5.65298,1.55434,-7.89429,-2.66702,1.90014,-4.49021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-06,13:03:02,4,3,"Muniz, Ethan",1000471507,Right,ANG_COL,"Gonzalez, Diego",1000511496,Left,PAR_JUN,Undefined,1,Top,2,1,1,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,80.43646,0.226506,-2.70605,1749.015282,264.502514,02:45:00,5.3624,2.54427,5.41135,-41.07715,3.48937,19.78332,2.15177,1.65561,72.84826,-7.320022,0.813422,0.48048,74.06696,-7.765727,-3.187124,NA,NA,NA,NA,17.55201,15.86803,-8.252174,0.156977,-10.85993,2.10441,-2.31786,50,5.35391,4.71265,-116.55933,-0.93468,-14.73353,24.73919,-29.31903,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,1a0f15d0-198f-11f1-9eb6-7b9fa60c9420,78.44739,2.21121,NA,7.5882,NA,NA,NA,0.62986,2.21121,-1.66031,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:03:02,2026-03-06T19:03:02Z,2026-03-06T19:03:02Z,GroundBall,v3,NA,NA,NA,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,2b67c4d5-29cf-4ea8-886f-7fc4db72ab1a,55.09165,-117.63505,12.3696,5.36684,0.34018,-14.65951,-2.53671,5.3533,-7.36677,188.8832,0.62985,107.46929,-5.26537,NA,NA,NA,NA,NA,NA,2.21094,-14.65632,3.65864,NA,NA,NA,NA,NA,NA,-1.66037,-5.97896,3.23615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-03-06,13:05:15,1,1,"Callaway, Shiloh",1000344333,Right,PAR_JUN,"Ficarra, Connor",10126743,Left,ANG_COL,Undefined,1,Bottom,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.35383,-3.401737,-2.601605,2236.685732,226.507419,01:30:00,6.07045,1.6508,5.79502,-20.01379,17.11859,16.68776,1.23122,0.61968,79.50351,-7.170494,0.386924,0.438579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.23611,10.11071,-1.44645,50,5.77799,5.03583,-126.47846,-8.12942,-14.86491,27.34359,-15.90147,ANG_COL,PAR_JUN,AngelinaCollege,JUCO,NJCAA,20260306-AngelinaCollege-1,69369ac0-198f-11f1-9eb6-7b9fa60c9420,85.94222,NA,NA,7.85031,NA,NA,NA,NA,NA,NA,0bf8c843-37a5-4885-9dde-35654b4a926a,2026-03-06,19:05:15,2026-03-06T19:05:15Z,2026-03-06T19:05:15Z,NA,v3,NA,NA,NA,"Gonzalez, Diego",1000511496,Right,PAR_JUN,e4de26a3-190b-4d69-855e-f357f847fc07,54.70585,-127.49176,13.6718,6.06834,-7.54014,-7.95073,-1.64327,5.5867000000000004,-7.43245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
