player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2026-03-03,19:03:14,1,5,"Mercurius, Xander",815716,Right,OKL_SOO,"Underhill, Landon",700989,Left,DAL_PAT,Undefined,3,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,97.03021,-3.063586,-1.79529,2361.251759,181.413399,12:00:00,5.84463,1.53662,6.34351,-10.07595,19.8197,0.46024,2.18056,-0.07831,86.73753,-5.079221,-1.71206,0.393528,84.58906,66.507956,-79.396732,2694.95968,NA,NA,NA,NA,46.37072,NA,NA,-0.86921,11.73505,-1.40634,50,5.61692,4.38438,-140.52129,-7.73249,-1.69528,39.13723,-9.28649,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,ec96fd50-1765-11f1-9613-7f698f697ec0,95.78089,85.59022,NA,10.29267,NA,NA,NA,2.82011,2.3045,0.03633,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:03:14,2026-03-04T01:03:14Z,2026-03-04T01:03:14Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Brock, Brendan",833392,Right,OKL_SOO,6c028dc8-f714-4f2a-8f1d-37b470695d50,54.1525,-141.6731,19.56862,5.84047,-7.45919,-4.64325,-1.53611,4.43428,-0.84764,NA,2.82011,9.09999,-17.7119,7.4947,-2.34144,0.66433,-0.17562,0.03761,-0.00453,2.3045,113.78079,-37.31952,5.8165,-1.04041,0.14495,-0.01291,-9.6e-4,3.4e-4,0.03633,-48.61007,4.58807,0.35762,-0.42675,0.1829,-0.05916,0.01439,-0.00181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,2026-03-03,19:19:30,1,4,"Watt, Liam",830340,Left,DAL_PAT,"Walk, Jason",811306,Right,OKL_SOO,Undefined,3,Bottom,0,1,2,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.29015,0.508837,2.174468,1851.256565,93.038286,09:00:00,5.39607,-2.1586,6.14621,-38.73128,2.07433,-15.30639,2.639,-1.42387,75.50606,-6.672039,-0.58689,0.45976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48646,1.3398,2.00057,50,5.41508,-3.95896,-119.57982,-0.15838,12.29346,22.96326,-30.23322,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,31f3e0a0-1768-11f1-9613-7f698f697ec0,81.98283,NA,NA,6.78409,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:19:30,2026-03-04T01:19:30Z,2026-03-04T01:19:30Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,3fb4ab75-a17c-4f3e-8c1e-cd31ca78c830,54.35344,-120.41292,11.48163,5.40093,0.93847,-15.11661,2.15229,-4.40497,6.14673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,2026-03-03,19:19:43,1,5,"Watt, Liam",830340,Left,DAL_PAT,"Walk, Jason",811306,Right,OKL_SOO,Undefined,3,Bottom,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.70369,-0.024489,1.512211,2115.225417,154.872659,11:15:00,5.55907,-2.183,5.88026,-18.75544,17.05804,-7.42587,3.97336,-1.39714,80.26851,-3.600981,0.180335,0.43072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22555,9.07158,2.06502,50,5.5463,-3.07537,-128.69356,-0.60447,7.02437,28.89745,-17.09389,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,39a79e40-1768-11f1-9613-7f698f697ec0,87.51036,NA,NA,8.43519,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:19:43,2026-03-04T01:19:43Z,2026-03-04T01:19:43Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,ed2e0ffc-a948-47e3-98c4-a9f40e43a003,54.61493,-129.72567,14.44873,5.55699,0.00607,-8.54695,2.17934,-3.32626,3.51219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,2026-03-03,19:20:29,2,1,"Watt, Liam",830340,Left,DAL_PAT,"Branch, Kyle",830620,Right,OKL_SOO,Undefined,3,Bottom,1,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.26467,-0.743717,3.761593,2144.358153,120.337696,10:00:00,5.53129,-2.06051,6.05292,-25.28619,11.50394,-17.51714,2.73415,-0.03327,79.230950000000007,-5.496641,0.614975,0.436553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0893,6.51607,1.77675,50,5.45986,-7.59241,-126.48485,-2.43415,16.2351,27.41415,-21.68874,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,5557c890-1768-11f1-9613-7f698f697ec0,86.34101,NA,NA,8.03372,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:20:29,2026-03-04T01:20:29Z,2026-03-04T01:20:29Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,2f8a30a2-7106-45fc-a4d5-5912b41f9a1d,54.44474,-127.44455,13.70708,5.53178,-1.67488,-10.84437,2.05249,-8.16077,8.11755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,2026-03-03,19:20:45,2,2,"Watt, Liam",830340,Left,DAL_PAT,"Branch, Kyle",830620,Right,OKL_SOO,Undefined,3,Bottom,1,0,1,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.08213,1.317337,0.414771,2259.924555,19.495541,06:45:00,5.46241,-2.07261,5.45412,-47.49821,-2.86276,-1.54555,2.73767,-1.81312,72.87689,-7.371969,0.139319,0.480852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89965,-1.34571,2.03711,50,5.54626,-0.7778,-116.16996,1.01415,1.21839,23.58882,-33.99653,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,5ec4a7e0-1768-11f1-9613-7f698f697ec0,78.38679,NA,NA,7.20525,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:20:45,2026-03-04T01:20:45Z,2026-03-04T01:20:45Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,b9c222e7-2de4-48a6-85c3-a858ef13625e,55.04362,-117.18961,11.79441,5.47066,2.48368,-16.99826,2.07187,-0.83047,0.6092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,2026-03-03,19:20:59,2,3,"Watt, Liam",830340,Left,DAL_PAT,"Branch, Kyle",830620,Right,OKL_SOO,Undefined,3,Bottom,1,1,1,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.99892,-0.537264,2.326322,2185.304411,112.734924,09:45:00,5.43707,-2.27784,6.28023,-29.29194,8.01256,-16.25178,2.50045,-1.4868,78.56483,-6.023383,-0.612091,0.439594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.07138,4.69236,2.11348,50,5.38332,-4.43768,-124.92111,-2.07378,14.292,25.86252,-24.7812,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,67450450-1768-11f1-9613-7f698f697ec0,85.7437,NA,NA,7.43409,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:20:59,2026-03-04T01:20:59Z,2026-03-04T01:20:59Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,29e72543-76d6-49b2-be7d-1f95bde38891,54.21823,-125.79138,12.93126,5.43907,-1.2399,-12.3906,2.2709,-4.91861,7.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2026-03-03,19:21:14,2,4,"Watt, Liam",830340,Left,DAL_PAT,"Branch, Kyle",830620,Right,OKL_SOO,Undefined,3,Bottom,1,2,1,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.0436,0.471155,1.88182,2219.505579,110.744489,09:45:00,5.49447,-2.23077,6.00292,-29.98155,7.57831,-16.89914,3.43279,-1.89483,78.67337,-5.11584,-1.157549,0.441096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15752,4.13862,2.09169,50,5.51519,-3.41584,-124.99397,0.05308,14.4838,25.25438,-25.62826,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,703bf050-1768-11f1-9613-7f698f697ec0,85.45171,NA,NA,7.37023,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:21:14,2026-03-04T01:21:14Z,2026-03-04T01:21:14Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,0507ad24-7022-4691-8bfa-247a83591312,54.49555,-125.899,12.62719,5.49683,0.97151,-12.81413,2.22341,-3.93489,7.2419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,2026-03-03,19:21:31,2,5,"Watt, Liam",830340,Left,DAL_PAT,"Branch, Kyle",830620,Right,OKL_SOO,Undefined,3,Bottom,1,3,1,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,86.29643,-1.03132,3.113566,2148.679795,98.509267,09:15:00,5.46434,-2.12992,6.29957,-33.15258,3.98925,-18.48237,1.7499,-0.79856,78.80035,-7.207768,-0.22928,0.438635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.61123,2.70811,1.90999,50,5.3725,-6.11653,-125.28755,-3.29857,16.76526,26.72952,-27.89535,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,7a76ce00-1768-11f1-9613-7f698f697ec0,85.93123,NA,NA,7.49608,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:21:31,2026-03-04T01:21:31Z,2026-03-04T01:21:31Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,92638d76-e811-4684-8471-a5764c2e59d3,54.2012,-126.18067,13.36476,5.46715,-2.36649,-13.94767,2.12372,-6.67671,8.38263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,2026-03-03,19:21:51,2,6,"Watt, Liam",830340,Left,DAL_PAT,"Branch, Kyle",830620,Right,OKL_SOO,Undefined,3,Bottom,1,3,2,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.91167,-1.130772,3.266,2158.439286,117.756115,10:00:00,5.42509,-2.11792,6.23728,-29.61025,7.93319,-12.73981,1.91266,-0.16357,78.46342,-6.664185,0.966887,0.441,71.98574,61.26416,75.186161,4928.339757,NA,NA,NA,NA,57.15495,NA,NA,7.58678,4.80189,1.88054,50,5.32603,-6.62569,-124.66796,-3.3776,11.89011,26.04186,-24.64842,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,8615cf90-1768-11f1-9613-7f698f697ec0,85.47044,78.3419,NA,7.44824,NA,NA,NA,1.97708,1.97782,0.17315,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:21:51,2026-03-04T01:21:51Z,2026-03-04T01:21:51Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,2236dcf8-9af8-490c-9769-c6341785fd93,54.26201,-125.55509,13.02093,5.42678,-2.53794,-12.32421,2.11314,-7.03073,5.94505,NA,1.97708,12.97812,-7.03219,2.09211,-0.47082,0.04037,0.0624,-0.04631,0.01091,1.97782,92.5764,-27.19604,3.23141,-0.64688,0.09063,0.01069,-0.01544,0.00384,0.17315,49.07224,-1.38196,-0.37081,0.16124,-0.01295,-0.0369,0.02665,-0.00639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.82323,8.51841,-9.45373
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,2026-03-03,19:22:08,2,7,"Watt, Liam",830340,Left,DAL_PAT,"Branch, Kyle",830620,Right,OKL_SOO,Undefined,3,Bottom,1,3,2,Sinker,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,NA,87.01697,-1.875436,3.998219,2151.60103,109.942213,09:45:00,5.42733,-1.96481,6.23149,-29.40702,7.24796,-16.66111,1.24172,0.34132,79.55304,-7.357436,0.993812,0.43575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.79906,4.65894,1.67404,50,5.27246,-8.16356,-126.14331,-5.06627,15.73789,26.43394,-24.69149,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,902668f0-1768-11f1-9613-7f698f697ec0,86.50008,NA,NA,7.46394,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:22:08,2026-03-04T01:22:08Z,2026-03-04T01:22:08Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,1250fd8c-0293-421a-a000-d2aade62763e,54.26797,-127.03453,13.21697,5.4292299999999996,-4.23379,-12.34575,1.95822,-8.69416,7.86894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,2026-03-03,19:22:41,3,1,"Watt, Liam",830340,Left,DAL_PAT,"Johnson, Camden",825128,Left,OKL_SOO,Undefined,3,Bottom,1,0,0,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.1497,1.107179,3.674267,2305.223346,261.736484,02:45:00,5.31967,-2.49057,5.62373,-40.57065,2.12004,6.23256,2.97422,1.46219,74.96981,-6.310081,4.782801,0.47026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21032,1.1852,2.17298,50,5.38815,-7.80512,-117.70636,0.91129,-3.12389,20.79486,-30.499,OKL_SOO,DAL_PAT,UofOklahoma,D1,SEC,20260303-UofOklahoma-1,a3f33a20-1768-11f1-9613-7f698f697ec0,80.15233,NA,NA,6.17989,NA,NA,NA,NA,NA,NA,afd55af2-b9c5-43a1-8796-eddf51c8b765,2026-03-04,01:22:41,2026-03-04T01:22:41Z,2026-03-04T01:22:41Z,NA,v3,4244,471502,5011e1b1de504df5ba41b718298e0068,"Berghult, Adam",830333,Right,DAL_PAT,609dd9a9-6b12-44f4-a818-88f0a1b23ffe,54.87569,-118.5646,10.39743,5.32456,2.17005,-15.2495,2.49245,-7.67619,-1.56195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
