player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-17,18:07:53,1,1,"Marton, Ryan",838868,Right,UNL_REB,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,95.63153,-3.194396,-2.132559,2415.528499,205.389451,12:45:00,5.95905,2.03199,6.59176,-17.30654,12.16052,5.37918,1.58485,0.52536,88.61674,-6.458207,-1.154507,0.390697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.38937,7.46398,-1.88846,50,5.73296,4.96733,-138.98749,-8.27934,-6.70608,27.80219,-17.40621,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,ecfc6ad0-2266-11f1-9b86-c5e9d383d2df,96.47496,NA,NA,7.01478,NA,NA,NA,NA,NA,NA,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:07:53,2026-03-18T01:07:53Z,2026-03-18T01:07:53Z,NA,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,cf998b44-c9e9-4e34-9f25-5fc0cfd40a87,53.91005,-139.76745,13.90109,5.95838,-7.79103,-8.70311,-2.03045,5.15546,-3.35304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-17,18:08:14,1,2,"Marton, Ryan",838868,Right,UNL_REB,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,94.96667,-1.779849,-1.665224,2486.729176,170.665771,11:45:00,6.00587,2.0165,6.23924,-16.08603,14.40013,-2.21394,3.02238,0.29553,87.11217,-4.833844,-2.064958,0.397395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69917,8.24095,-1.89138,50,5.8651,4.10586,-137.97839,-4.77409,1.35171,29.87447,-16.24153,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,f98f6950-2266-11f1-9b86-c5e9d383d2df,94.84872,NA,NA,7.85449,NA,NA,NA,NA,NA,NA,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:08:14,2026-03-18T01:08:14Z,2026-03-18T01:08:14Z,NA,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,99cbe88c-3819-49ed-a9b8-6e87398d9901,54.25945,-138.89756,14.93723,6.00429,-4.27437,-8.12076,-2.01707,4.06428,0.67585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-17,18:08:35,1,3,"Marton, Ryan",838868,Right,UNL_REB,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,95.78051,-1.95354,-2.217878,2391.866812,209.961051,01:00:00,6.04171,1.83751,6.58743,-19.85257,9.75678,5.09988,2.59518,0.22915,87.87779,-5.704348,-1.290822,0.391639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.31217,5.94768,-1.68778,50,5.89949,5.18778,-139.20107,-5.36235,-6.50708,30.87726,-20.48931,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,06302370-2267-11f1-9b86-c5e9d383d2df,96.24282,NA,NA,7.90273,NA,NA,NA,NA,NA,NA,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:08:35,2026-03-18T01:08:35Z,2026-03-18T01:08:35Z,NA,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,830e1a50-4114-497d-b996-7e5c5169b60c,53.91291,-140.06633,15.43863,6.04171,-4.78819,-10.24466,-1.83571,5.37013,-3.25354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-17,18:09:01,1,4,"Marton, Ryan",838868,Right,UNL_REB,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Error,0,0,NA,84.4021,-0.299541,-1.126557,2547.485599,67.119456,08:15:00,5.88642,1.98589,5.46293,-46.10487,-5.64327,-16.74103,1.76393,-0.46376,76.64788,-8.697491,-4.112053,0.457818,73.34049,-11.489433,-20.413638,NA,NA,NA,NA,10.40033,5.79995,-14.800427000000001,0.080819,8.1202,-2.39225,-1.87471,50,5.82835,3.10602,-122.41385,-2.323,12.09827,28.24999,-35.73827,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,1560b030-2267-11f1-9b86-c5e9d383d2df,82.33061,1.73528,NA,7.75422,NA,NA,NA,2.05419,1.73528,0.32094,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:09:01,2026-03-18T01:09:01Z,2026-03-18T01:09:01Z,GroundBall,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,19806b0c-d7f2-4a09-9df8-920443fb28c8,55.03736,-123.57087,14.12499,5.89352,-0.85928,-17.86913,-1.99177,2.61052,6.04913,180,2.05147,98.9996,NA,NA,NA,NA,NA,NA,NA,1.73587,-21.47109,NA,NA,NA,NA,NA,NA,NA,0.32196,-36.84445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-17,18:09:55,2,1,"Marton, Ryan",838868,Right,UNL_REB,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.95428,-1.399738,-3.407382,2632.745468,85.754871,08:45:00,6.02275,2.12253,5.41934,-38.90837,0.29197,-14.45099,1.46663,-2.27729,78.17885,-8.476828,-5.971722,0.450626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16737,1.00516,-1.80928,50,5.87137,8.02893,-124.38529,-4.47519,9.503,28.78561,-30.62524,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,35f60ed0-2267-11f1-9b86-c5e9d383d2df,83.64463,NA,NA,7.77543,NA,NA,NA,NA,NA,NA,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:09:55,2026-03-18T01:09:55Z,2026-03-18T01:09:55Z,NA,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,6f34c169-b02f-440e-885e-fb4cfe12db34,55.07881,-125.55514,14.39281,6.02795,-3.23058,-15.31262,-2.12773,7.64273,4.7515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-17,18:10:14,2,2,"Marton, Ryan",838868,Right,UNL_REB,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.97246,-2.600594,-3.229817,2337.457289,190.293427,12:15:00,6.01532,1.91837,6.31385,-19.91588,11.37808,1.88358,1.95475,-0.90287,85.94385,-6.34873,-2.889771,0.402626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89122,6.96563,-1.68259,50,5.81501,7.6085,-136.24582,-6.82222,-3.54842,30.4431,-19.10466,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,40f57500-2267-11f1-9b86-c5e9d383d2df,93.61652,NA,NA,8.02861,NA,NA,NA,NA,NA,NA,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:10:14,2026-03-18T01:10:14Z,2026-03-18T01:10:14Z,NA,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,7a07cdb0-0d59-4537-a954-e0915aa4538d,54.1837,-137.17745,15.22155,6.01484,-6.23758,-9.55233,-1.91709,7.71709,-1.77421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-17,18:10:33,2,3,"Marton, Ryan",838868,Right,UNL_REB,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.88374,-0.97669,-1.842935,2279.628445,189.605766,12:15:00,6.0419,1.89893,6.11122,-18.78123,13.24741,2.07567,3.57314,0.36723,85.10498,-4.522135,-1.469084,0.407325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.56902,7.40552,-1.75855,50,5.957,4.2533,-134.9455,-2.89205,-2.90051,28.67329,-18.48403,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,4c5794a0-2267-11f1-9b86-c5e9d383d2df,92.53664,NA,NA,7.77876,NA,NA,NA,NA,NA,NA,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:10:33,2026-03-18T01:10:33Z,2026-03-18T01:10:33Z,NA,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,448cebc5-5df9-4511-ba2e-d56aecab559c,54.38708,-135.87447,14.33665,6.041,-2.2932,-9.24201,-1.89787,4.34727,-1.45025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-17,18:11:33,2,4,"Marton, Ryan",838868,Right,UNL_REB,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.58871,-1.340309,-2.938826,2367.44113,189.454825,12:15:00,6.03458,1.84548,6.1697,-18.2193,13.38639,2.06354,3.27649,-0.69934,85.57641,-4.786141,-2.567298,0.404626,92.82104,25.558424,66.203733,4928.98382,33.76477,45.79795,104.68972,284.85717,127.66842,83.532756,4.108612,-1.88622,7.60433,-1.62386,50,5.9236,6.88544,-135.83231,-3.74772,-3.5237,29.77429,-17.96801,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,702dc660-2267-11f1-9b86-c5e9d383d2df,93.15375,56.6036,NA,8.01229,NA,NA,NA,-0.33078,3.19082,1.12634,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:11:33,2026-03-18T01:11:33Z,2026-03-18T01:11:33Z,FlyBall,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,c3428780-05bb-40e3-91f0-bf7116e60989,54.32873,-136.77787,14.88715,6.03356,-3.1771,-8.984,-1.8443,6.99735,-1.76185,NA,-0.33119,49.56831,-20.22723,5.17302,-1.49803,0.44591,-0.11638,0.01929,-0.0013,3.19008,58.7517,-18.45277,1.64692,-0.3292,0.07063,-0.00667,-9.9e-4,1.9e-4,1.12673,112.36607,-12.94973,0.8951,0.03397,-0.05477,0.01054,-0.00178,1.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-17,18:11:54,2,5,"Marton, Ryan",838868,Right,UNL_REB,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.21046,-0.54069,-3.891897,2533.171789,70.192063,08:15:00,5.95231,2.11444,5.46066,-45.2192,-4.73103,-16.71639,1.67677,-2.92706,77.29789,-8.723979,-6.856821,0.457968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26768,-1.85055,-1.75937,50,5.87359,8.99212,-121.97501,-2.7994,10.84807,26.05755,-34.93629,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,7cb55330-2267-11f1-9b86-c5e9d383d2df,82.30358,NA,NA,6.91257,NA,NA,NA,NA,NA,NA,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:11:54,2026-03-18T01:11:54Z,2026-03-18T01:11:54Z,NA,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,8c593aeb-1e81-4ca6-a86d-c23feac64c5e,55.0401,-123.04701,13.02878,5.95919,-1.36213,-17.468139999999998,-2.12012,8.54583,5.42404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-17,18:12:17,2,6,"Marton, Ryan",838868,Right,UNL_REB,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,0,2,2,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.69655,-1.136159,-2.040494,2476.35232,167.764039,11:30:00,6.01463,1.94187,6.09605,-18.73962,12.56863,-2.53173,3.40134,-0.1572,86.43106,-4.654114,-2.496172,0.402718,81.52742,3.910667,174.076143,2206.423537,NA,NA,NA,94.29325,53.28909,174.836883,0.863532,0.79917,7.06725,-1.78337,50,5.91712,4.95887,-136.20916,-3.30955,1.51436,27.49761,-18.78228,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,8aa23c60-2267-11f1-9b86-c5e9d383d2df,93.59519,4.50419,NA,7.26549,NA,NA,NA,0.30656,3.34272,0.22941,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:12:17,2026-03-18T01:12:17Z,2026-03-18T01:12:17Z,GroundBall,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,ee59b86c-e454-4df8-a92f-36007ac786f3,54.40433,-137.09541,13.74881,6.01403,-2.7042,-9.39114,-1.9424,4.91007,0.75718,224.902605,0.26292,-117.97145,10.37793,NA,NA,NA,NA,NA,NA,3.36056,7.87887,-13.65367,NA,NA,NA,NA,NA,NA,0.24542,12.05947,-2.93446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-03-17,18:12:44,2,7,"Marton, Ryan",838868,Right,UNL_REB,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,0,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,FieldersChoice,1,0,NA,83.87043,0.586166,-1.259105,2438.447478,76.322272,08:30:00,6.01043,2.15756,5.40112,-43.57384,-2.78126,-16.97918,2.9287,-0.4374,76.46887,-7.360573,-4.279383,0.459687,103.67236,3.161017,4.144416,1870.818883,NA,NA,NA,110.40555,109.67988,7.381036,0.808624,8.18902,-1.21646,-2.0329,50,6.03202,3.3851,-121.69622,-0.33883,12.15296,26.20241,-33.97936,UNL_REB,CAL_FUL,EarlEWilsonStadium,D1,MW,20260317-EarlEWilsonStadium-1,9a361ed0-2267-11f1-9b86-c5e9d383d2df,81.99595,4.01102,NA,7.40156,NA,NA,NA,1.04332,2.86698,0.45664,f5764266-a65b-43e4-b8b3-7beb9e8bd129,2026-03-18,01:12:44,2026-03-18T01:12:44Z,2026-03-18T01:12:44Z,GroundBall,v3,471376,471254,0479658bcb8942ab9a248a8d1e2d37a8,"Garcia, Ayden",814503,Right,UNL_REB,d75f3d49-0883-45be-8627-d9539e67bae9,55.09932,-122.78925,13.1012,6.01659,1.07861,-16.98968,-2.16354,2.87814,6.07648,261.38003200000003,1.1298,149.9677,-19.85964,NA,NA,NA,NA,NA,NA,2.89238,7.95907,-14.30226,NA,NA,NA,NA,NA,NA,0.40376,11.87297,6.46324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
