player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2026-03-14,14:14:26,1,4,"Bailey, Smith",815344,Right,ARI_WIL,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,1,Bottom,0,2,1,FastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.75852,-1.174531,-3.046045,2326.629873,228.296847,01:30:00,6.02295,1.31558,6.41025,-17.81619,12.63347,13.12591,3.4567,-0.39385,86.79522,-4.558308,-0.670558,0.397157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.71831,7.20985,-1.10348,50,5.93058,6.78797,-137.65455,-3.36427,-14.84477,29.87605,-18.3072,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,66826e90-1fe2-11f1-a18b-759afd891868,94.90553,NA,NA,7.9633,NA,NA,NA,NA,NA,NA,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:14:26,2026-03-14T20:14:26Z,2026-03-14T20:14:26Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,3fbac95a-38fc-4841-9201-3c2200ef1303,54.08947,-138.53927,14.93803,6.02218,-2.82214,-9.1536,-1.311,7.22757,-7.42239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2026-03-14,14:14:48,1,5,"Bailey, Smith",815344,Right,ARI_WIL,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,1,Bottom,0,2,2,FastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.97832,-1.11168,-2.429807,2331.125601,227.566246,01:30:00,5.95805,1.60198,6.19756,-17.22568,13.13438,13.4043,3.4953,0.47462,87.46935,-4.366145,-0.011908,0.396573,84.565,67.084983,-71.798885,4405.098461,NA,NA,NA,NA,46.35795,NA,NA,-7.5978,7.37095,-1.42591,50,5.86556,5.29441,-138.07562,-3.22523,-14.79226,28.29769,-17.82341,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,73ea7050-1fe2-11f1-a18b-759afd891868,95.0455,94.8849,NA,7.50897,NA,NA,NA,1.36136,3.49107,-0.47461,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:14:48,2026-03-14T20:14:48Z,2026-03-14T20:14:48Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,95347098-77dc-4c5c-a88b-18e9b8ac72a7,54.30264,-138.95462,14.14885,5.95715,-2.67159,-8.91171,-1.5975,5.75389,-7.39613,NA,1.36137,15.08216,-12.40712,3.62823,0.49411,-2.92231,3.43954,-1.90425,0.41219,3.49107,114.24044,-30.54879,4.04271,-0.7485,0.02415,0.09534,-0.05095,0.00864,-0.47461,-45.87651,3.66647,-0.39422,0.25787,-0.56874,0.65053,-0.36389,0.07998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2026-03-14,14:15:55,2,1,"Bailey, Smith",815344,Right,ARI_WIL,"Long, Jake",832402,Left,UTA_UTE,Undefined,1,Bottom,0,0,0,FastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.19157,-2.103632,-2.200269,2128.205134,221.65846,01:30:00,6.01289,1.51459,6.32363,-18.09371,12.76162,10.52308,2.56547,0.36421,86.56414,-5.523021,-0.29679,0.399794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.07107,7.49367,-1.35872,50,5.8504,4.82101,-136.84795,-5.58595,-11.56631,28.88488,-17.89747,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,9bf57220-1fe2-11f1-a18b-759afd891868,94.27964,NA,NA,7.62743,NA,NA,NA,NA,NA,NA,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:15:55,2026-03-14T20:15:55Z,2026-03-14T20:15:55Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,e42df5ea-a9c3-4bfd-a57b-3f7b99fd7e1b,54.17548,-137.72646,14.44244,6.01201,-5.04162,-8.94874,-1.5107,5.17279,-5.78315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2026-03-14,14:16:29,2,2,"Bailey, Smith",815344,Right,ARI_WIL,"Long, Jake",832402,Left,UTA_UTE,Undefined,1,Bottom,0,0,1,FastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,95.80985,-1.722718,-3.44918,2132.972357,228.235595,01:30:00,6.09383,1.37833,6.20971,-17.92899,11.9882,12.43505,3.00645,-0.7726,88.17264,-5.099849,-1.208551,0.393669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.28859,6.92441,-1.1252,50,5.95523,7.83828,-139.08429,-4.76762,-14.3946,28.79045,-18.49869,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,afbb1760-1fe2-11f1-a18b-759afd891868,95.74642,NA,NA,7.63721,NA,NA,NA,NA,NA,NA,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:16:29,2026-03-14T20:16:29Z,2026-03-14T20:16:29Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,614e4ba5-2467-4902-86f3-982c1ae21900,54.28886,-139.96927,14.39523,6.09304,-4.199,-9.24934,-1.37294,8.28075,-7.1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2026-03-14,14:19:51,4,5,"Bailey, Smith",815344,Right,ARI_WIL,"Gurney, Cameron",702156,Left,UTA_UTE,Undefined,1,Bottom,1,1,2,FastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.70989,-0.411492,-2.694956,2326.768708,222.340472,01:30:00,5.99982,1.34318,6.47148,-16.70568,13.70583,11.63434,4.22936,-0.16405,86.60808,-3.603619,-0.586607,0.396908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.78756,7.56209,-1.15785,50,5.96314,5.98857,-137.61578,-1.46942,-13.04229,29.96966,-17.64351,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,289a63c0-1fe3-11f1-a18b-759afd891868,94.96507,NA,NA,8.10182,NA,NA,NA,NA,NA,NA,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:19:51,2026-03-14T20:19:51Z,2026-03-14T20:19:51Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,075258ad-5b54-4f0f-818d-1bdcab1aee79,54.02628,-138.48984,14.98483,5.99849,-0.95485,-8.82176,-1.33805,6.36895,-6.52115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2026-03-14,14:25:45,7,5,"Bailey, Smith",815344,Right,ARI_WIL,"Flaharty, Matt",809820,Left,UTA_UTE,Undefined,1,Bottom,2,1,2,FastBall,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,95.88088,-2.871483,-3.165315,2395.191981,230.203055,01:45:00,6.02617,1.30899,6.18348,-16.9719,13.15426,14.63855,1.95409,-0.3969,87.75899,-6.08058,-0.526886,0.395042,85.95265,31.95928,-23.792516,4236.437429,96.8731,55.91175,-52.11129,298.60619,282.04802,-35.598893,4.2607,-8.4863,7.90252,-1.07734,50,5.80035,7.06108,-139.05385,-7.52164,-16.62665,30.99124,-16.69118,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,fb946640-1fe3-11f1-a18b-759afd891868,95.41375,65.09976,NA,8.12188,NA,NA,NA,1.18148,1.93853,0.40775,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:25:45,2026-03-14T20:25:45Z,2026-03-14T20:25:45Z,FlyBall,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,962294cf-1292-4b4c-9757-1fc123d32e79,54.316,-140.01246,15.49562,6.02503,-7.00535,-8.34559,-1.3037,7.57537,-8.31333,135.281912,1.18052,97.89545,-20.40672,5.14281,-1.25882,0.32974,-0.08182,0.01295,-8.4e-4,1.94018,66.68178,-19.43271,0.85954,0.25377,-0.19839,0.06197,-0.00896,4.9e-4,0.407,-43.12889,-1.28773,1.30744,-0.43198,0.09274,-0.01282,7.9e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2026-03-14,14:32:47,3,2,"Riske, Payton",10038974,Right,UTA_UTE,"McEntire, Carson",806323,Right,ARI_WIL,Undefined,2,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.14954,1.962446,-2.370511,2310.60805,91.118,09:00:00,5.12008,2.21506,5.48357,-42.79494,1.4452,-3.8828,3.39218,-0.32762,73.36883,-5.876217,-3.060846,0.478718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29441,0.60654,-2.0044400000000002,50,5.26329,4.96739,-116.23521,2.52874,1.77071,21.80289,-31.34432,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,f6c5aab0-1fe4-11f1-a18b-759afd891868,78.73621,NA,NA,6.78071,NA,NA,NA,NA,NA,NA,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:32:47,2026-03-14T20:32:47Z,2026-03-14T20:32:47Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Eckerle, Blake",1000071987,Right,UTA_UTE,02cf5264-c2b7-47ad-be46-3494e1e40452,55.0146,-117.17204,10.90144,5.1257,3.87556,-15.67216,-2.21625,4.8913,0.88535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,2026-03-14,14:43:23,1,6,"Bailey, Smith",815344,Right,ARI_WIL,"Gilliam, Jet",824583,Right,UTA_UTE,Undefined,2,Bottom,0,2,2,FastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.52088,-1.939911,-1.907544,2367.492583,235.843723,01:45:00,6.02586,1.3505,6.12112,-20.60977,10.56693,14.0441,2.51331,0.75672,86.05026,-5.817396,0.624713,0.401871,11.55256,-9.39499,47.52329,NA,NA,NA,NA,4.17493,4.09676,37.803313,0.280064,-7.84217,6.34225,-1.21174,50,5.86653,3.96395,-137.20149,-5.33,-14.85463,32.1326,-20.16055,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,72073490-1fe6-11f1-a18b-759afd891868,93.79242,1.98569,NA,8.47062,NA,NA,NA,0.14853,1.98569,-0.86079,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:43:23,2026-03-14T20:43:23Z,2026-03-14T20:43:23Z,GroundBall,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,decc9417-1432-4e8b-a685-1d6aac3a74a3,54.37737,-138.22287,16.0663,6.02576,-4.68917,-10.08028,-1.34524,4.43613,-7.42731,151.876532,0.1487,11.28013,-0.11926,NA,NA,NA,NA,NA,NA,1.98616,-2.78753,-15.37538,NA,NA,NA,NA,NA,NA,-0.86066,12.32323,-0.40441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,2026-03-14,14:44:37,2,1,"Bailey, Smith",815344,Right,ARI_WIL,"Eckerle, Blake",1000071987,Left,UTA_UTE,Undefined,2,Bottom,1,0,0,FastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,94.8153,-1.250101,-2.222248,2290.952033,227.266378,01:30:00,5.96256,1.32781,6.5,-16.51292,13.58792,13.76686,3.43802,0.43432,87.35992,-4.391725,0.275917,0.394876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.76788,7.71063,-1.17787,50,5.86757,4.78657,-137.90013,-3.49081,-15.08877,28.15403,-17.19652,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,9dd299c0-1fe6-11f1-a18b-759afd891868,95.45384,NA,NA,7.45538,NA,NA,NA,NA,NA,NA,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:44:37,2026-03-14T20:44:37Z,2026-03-14T20:44:37Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,edba7ce9-4b21-4b8b-a057-a2a736b1ea55,53.99948,-138.71427,14.07701,5.96132,-2.99353,-8.59826,-1.3226,5.2229,-7.54439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,2026-03-14,14:46:06,3,3,"Bailey, Smith",815344,Right,ARI_WIL,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,2,Bottom,2,2,0,FastBall,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,95.04706,-0.806396,-2.177922,2117.202506,239.370149,02:00:00,5.96116,1.37935,6.57079,-21.13253,8.59642,13.15131,3.46038,0.478,88.0213,-4.779772,0.212377,0.392429,100.35516,40.835825,7.069693,4045.661683,109.37873,94.42764,11.6739,359.74476,357.1855,4.068236,6.381683,-7.47878,4.97055,-1.23502,50,5.89662,4.7421,-138.35184,-2.61195,-14.68537,27.08468,-22.41388,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,d333c300-1fe6-11f1-a18b-759afd891868,96.04901,140.03264,NA,7.02576,NA,NA,NA,1.09839,3.37828,-0.48842,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:46:06,2026-03-14T20:46:06Z,2026-03-14T20:46:06Z,FlyBall,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,0b4daa93-6bb7-4e29-b99b-1229b2015c89,53.93026,-139.11913,13.54234,5.96162,-1.97698,-11.20694,-1.37525,5.15812,-7.34268,176.60828,1.10861,110.35008,-24.24045,5.61479,-0.92344,0.09935,-0.0062,2.2e-4,-1e-5,3.37458,96.28338,-19.86648,1.31581,-0.06434,-0.04572,0.01489,-0.00183,8e-5,-0.4865,13.6754,-4.02691,0.88931,-0.13957,0.01361,-7.4e-4,3e-5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,2026-03-14,14:58:25,1,3,"Bailey, Smith",815344,Right,ARI_WIL,"Long, Jake",832402,Left,UTA_UTE,Undefined,3,Bottom,0,1,1,FastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.25391,-1.427584,-1.770097,2255.600548,226.075096,01:30:00,5.93972,1.44431,6.41588,-17.2206,13.4341,12.9954,3.19136,0.89945,86.59886,-4.698947,0.585269,0.398492,80.41345,28.013581,-138.799678,3239.474257,NA,NA,NA,NA,45.07878,NA,NA,-7.26028,7.68185,-1.32349,50,5.82969,3.70056,-137.0513,-3.92693,-13.8773,28.88474,-17.49095,UTA_UTE,ARI_WIL,AmericaFirstBallpark,D1,BIG12,20260314-AmericaFirstBallpark-1,8bb22e20-1fe8-11f1-a18b-759afd891868,94.58763,21.92198,NA,7.65505,NA,NA,NA,0.00285,3.00157,-0.78789,a7c2b08e-2410-41f1-a015-c26797676991,2026-03-14,20:58:25,2026-03-14T20:58:25Z,2026-03-14T20:58:25Z,NA,v3,471475,232,68ad179b36214309a0312c075213fb83,"Meyers, Roman",834679,Right,ARI_WIL,139612c2-f7f9-4551-8b0e-82cc4bdd37de,54.08335,-137.90922,14.44237,5.93861,-3.40742,-8.74548,-1.43952,4.11274,-6.93865,49.936278,0.00737,-78.48158,5.75904,NA,NA,NA,NA,NA,NA,3.03071,54.53867,-29.70721,NA,NA,NA,NA,NA,NA,-0.81338,-67.83665,17.96234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
