player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-27,13:34:37,1,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Davis, Taylor",1000532065,Right,UMP_COM,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Double,0,0,NA,82.3902,-2.628642,-1.383718,1779.728617,217.961208,01:15:00,6.33952,0.72682,5.85773,-24.96816,16.84521,11.95674,1.81413,0.43735,74.62763,-7.3252,0.762356,0.465403,87.98241,2.862217,-39.713552,3006.211832,NA,NA,NA,56.73317,53.12156,-41.075827,0.457039,-6.58193,9.90087,-0.62163,50,6.11163,2.41698,-119.39347,-6.20997,-9.36453,26.06113,-18.08747,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,318f0230-1424-11f1-a814-397d1494005b,80.98885,2.20355,NA,7.76256,NA,NA,NA,1.75531,1.76539,-0.50614,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:34:37,2026-02-27T21:34:37Z,2026-02-27T21:34:37Z,GroundBall,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,cc686b92-36f4-474b-a4bc-c193a97bf8ae,54.64104,-120.40225,13.03056,6.33845,-5.50984,-9.04374,-0.7222,2.77946,-4.68227,NA,1.77047,98.69528,-19.74592,NA,NA,NA,NA,NA,NA,1.77963,6.02485,-21.76647,NA,NA,NA,NA,NA,NA,-0.50261,-82.45331,4.34125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-27,13:35:18,2,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Schaefer, Tristan",1000426968,Right,UMP_COM,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,80.70138,-1.436839,-2.629673,1819.388322,218.153298,01:15:00,6.26754,1.13642,5.98695,-27.45576,15.78131,11.1993,2.64614,-0.36933,73.21179,-6.604978,-0.617454,0.47326,33.92613,-20.244281,-39.837374,NA,NA,NA,NA,11.16715,6.24416,-25.316336,0.168045,-6.63252,9.00591,-0.93519,50,6.13898,4.95988,-117.01745,-3.71927,-9.08881,24.49298,-19.83288,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,49866a40-1424-11f1-a814-397d1494005b,79.64431,2.94594,NA,7.48959,NA,NA,NA,3.96109,2.94594,0.34183,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:35:18,2026-02-27T21:35:18Z,2026-02-27T21:35:18Z,GroundBall,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,8e7b9d2c-816f-43da-8fe3-2521b3a704f6,54.5131,-117.95831,12.24649,6.26721,-2.95742,-9.91644,-1.13242,5.30901,-4.54441,180,3.94345,36.49953,NA,NA,NA,NA,NA,NA,NA,2.95441,-17.53073,NA,NA,NA,NA,NA,NA,NA,0.35655,-30.45062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-27,13:35:50,3,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Porter Strother, John",1000270432,Right,UMP_COM,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,72.55615,-0.304051,-1.055297,1879.899735,48.427144,07:30:00,6.29815,1.2237,5.41892,-58.8281,-4.8665,-7.34095,1.11094,-0.37672,67.30338,-10.940062,-2.365749,0.528706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43752,-1.97169,-1.12456,50,6.22958,2.2005,-105.41043,-2.40403,3.86371,18.08909,-34.3902,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,5cc99910-1424-11f1-a814-397d1494005b,71.29194,NA,NA,5.25277,NA,NA,NA,NA,NA,NA,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:35:50,2026-02-27T21:35:50Z,2026-02-27T21:35:50Z,NA,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,3a0b91f7-041f-4f0c-89ba-88f02a1e09d1,55.08476,-106.27942,9.04454,6.30539,-0.75194,-17.1951,-1.22582,2.01489,1.93186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-27,13:36:07,3,2,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Porter Strother, John",1000270432,Right,UMP_COM,Undefined,1,Top,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,72.67635,-1.146763,-1.389731,2017.348442,64.86607,08:15:00,6.27517,1.23913,5.40316,-56.24802,-2.38583,-8.59768,0.51282,-0.77983,67.50357,-11.29841,-2.924127,0.528218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96646,-0.42854,-1.109,50,6.13324,2.86639,-105.53129,-3.88108,4.46917,18.10455,-32.65691,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,66fc1250-1424-11f1-a814-397d1494005b,71.35769,NA,NA,5.17278,NA,NA,NA,NA,NA,NA,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:36:07,2026-02-27T21:36:07Z,2026-02-27T21:36:07Z,NA,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,7e589ead-8411-431c-89d4-7601ba77e621,55.09959,-106.40256,9.05228,6.2822,-2.30948,-16.32846,-1.24177,2.65132,2.23458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-27,13:36:26,3,3,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Porter Strother, John",1000270432,Right,UMP_COM,Undefined,1,Top,1,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,80.82445,-1.751322,-3.595765,1858.258698,222.114822,01:30:00,6.25356,1.25651,6.08247,-28.32379,14.73981,11.93631,2.26926,-1.0799,73.29722,-7.078525,-1.449879,0.472309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.25855,8.59453,-0.98456,50,6.10308,6.90414,-117.05556,-4.38759,-9.9554,24.46332,-20.38627,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,72908c90-1424-11f1-a814-397d1494005b,79.80455,NA,NA,7.52723,NA,NA,NA,NA,NA,NA,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:36:26,2026-02-27T21:36:26Z,2026-02-27T21:36:26Z,NA,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,e5f2cb8f-1e0c-4e5d-aae6-99bf8825a3c9,54.41559,-117.97476,12.23166,6.25356,-3.62158,-10.19314,-1.251,7.27821,-4.9777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-27,13:36:45,3,4,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Porter Strother, John",1000270432,Right,UMP_COM,Undefined,1,Top,1,2,1,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,80.1684,0.838582,-1.678668,1791.168151,235.443247,01:45:00,6.19637,1.3955,6.03747,-31.79683,12.36493,15.51084,4.32352,1.13323,71.77851,-5.16966,1.111918,0.478294,59.28146,6.871934,-176.625238,1478.291567,NA,NA,NA,67.25248,45.1476,-174.617823,0.846789,-8.52575,6.54929,-1.27264,50,6.24498,2.80974,-116.19305,0.7858,-11.38759,26.43701,-23.42637,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,7d7a6ef0-1424-11f1-a814-397d1494005b,78.80605,5.67157,NA,8.3899,NA,NA,NA,0.86785,4.24927,-1.14575,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:36:45,2026-02-27T21:36:45Z,2026-02-27T21:36:45Z,GroundBall,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,a81361a6-e35b-498f-9c38-a30a1753e990,54.45931,-117.20326,13.2185,6.19784,1.68098,-11.71319,-1.38832,3.24489,-5.6938,321.233189,0.86786,-86.17202,7.12714,-0.11389,0.78737,-2.1972,3.63689,-3.01817,0.96827,4.24927,10.40314,-19.37992,1.53932,-0.28108,0.24522,-0.34367,0.31173,-0.11164,-1.14575,-5.08142,-1.53392,0.47269,-0.17236,0.26173,-0.40389,0.34345,-0.11397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-27,13:38:08,4,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Thomsen, Jackson",10090578,Right,UMP_COM,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,81.92733,-1.979892,-1.596006,1827.231497,224.08455,01:30:00,6.24218,1.2315,5.91864,-26.87726,15.78501,13.64245,2.16355,0.88683,73.3307,-7.064236,0.855107,0.470103,40.66744,-79.171651,50.102093000000004,NA,NA,NA,NA,5.10222,5.10222,-5.224282,0.043338,-7.62508,9.27784,-1.11167,50,6.06855,2.78042,-118.6479,-4.87625,-10.5724,28.4788,-19.31004,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,aedf1630-1424-11f1-a814-397d1494005b,80.17904,2.56763,NA,8.59663,NA,NA,NA,4.76601,2.56763,-0.84136,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:38:08,2026-02-27T21:38:08Z,2026-02-27T21:38:08Z,GroundBall,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,531d042e-bff4-4e79-9e47-70990d745355,54.57961,-119.74209,14.2394,6.24165,-4.13434,-9.65502,-1.2263,3.18662,-5.2862,NA,4.76545,7.26879,NA,NA,NA,NA,NA,NA,NA,2.57226,-59.24678,NA,NA,NA,NA,NA,NA,NA,-0.84204,8.69402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-27,13:38:44,5,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Wilson, Shiloh",10280301,NA,UMP_COM,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.5529,-0.449076,-0.497069,1820.614969,216.712624,01:15:00,6.27493,1.52559,5.80082,-28.28773,14.92119,9.85308,3.49991,1.88434,72.83213,-5.797066,1.268995,0.473106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.13217,8.24528,-1.49037,50,6.22162,0.61822,-118.10212,-1.76199,-7.06045,27.93345,-20.83083,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,c48ae090-1424-11f1-a814-397d1494005b,79.67022,NA,NA,8.72076,NA,NA,NA,NA,NA,NA,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:38:44,2026-02-27T21:38:44Z,2026-02-27T21:38:44Z,NA,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,c6b2936c-534a-4e27-9f19-e5819a8846c4,54.69244,-119.20681,13.96673,6.27501,-0.9382,-10.41541,-1.52034,0.89744,-3.53023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-27,13:39:01,5,2,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Wilson, Shiloh",10280301,NA,UMP_COM,Undefined,1,Top,2,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,82.53889,-0.971787,-1.957169,1775.235229,230.560199,01:45:00,6.14664,1.46047,5.93184,-28.97112,12.84875,13.67241,2.83013,0.78324,74.08405,-6.428788,0.499105,0.465439,62.15305,2.406175,30.554113,1978.445299,NA,NA,NA,45.04065,42.79913,29.153073,0.501281,-7.72532,7.36965,-1.31202,50,6.05285,3.55511,-119.61384,-2.8955,-10.93566,28.00298,-21.74186,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,ceab7f80-1424-11f1-a814-397d1494005b,80.98256,2.95796,NA,8.45484,NA,NA,NA,2.70999,2.76988,-0.66533,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:39:01,2026-02-27T21:39:01Z,2026-02-27T21:39:01Z,GroundBall,v3,NA,NA,NA,"Benedictson, Beau",1000369251,Right,SOU_ORE,ad2e2695-9dd1-4f3a-8bc1-b210f900a347,54.56659,-120.67819,14.00149,6.1472,-2.06912,-10.87093,-1.4550399999999999,3.97076,-5.46783,304.18959,2.71731,78.23417,-10.37276,NA,NA,NA,NA,NA,NA,2.78011,3.55368,-18.19171,NA,NA,NA,NA,NA,NA,-0.66606,46.31891,-2.43042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-27,13:41:10,1,1,"Gomez, Cole",10178885,Right,UMP_COM,"Benedictson, Beau",1000369251,Right,SOU_ORE,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.99705,-0.918981,-3.837172,2116.20809,227.309858,01:30:00,6.29302,0.91725,6.24608,-21.71978,14.19583,13.79808,3.63346,-1.47733,79.03217,-5.088827,-1.351086,0.431333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.48296,8.08989,-0.63756,50,6.21396,8.04702,-128.69878,-2.68783,-13.80575,34.08836,-19.00803,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,1bc50c00-1425-11f1-a814-397d1494005b,87.38586,NA,NA,9.96487,NA,NA,NA,NA,NA,NA,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:41:10,2026-02-27T21:41:10Z,2026-02-27T21:41:10Z,NA,v3,NA,NA,NA,"Porter Strother, John",1000270432,Right,UMP_COM,0591cdd1-efcc-4be3-9086-5c8d677c1183,54.24874,-129.81926,17.04418,6.29204,-2.06303,-9.50401,-0.90953,8.50082,-6.90288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-02-27,13:41:24,1,2,"Gomez, Cole",10178885,Right,UMP_COM,"Benedictson, Beau",1000369251,Right,SOU_ORE,Undefined,1,Bottom,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.21244,-1.870919,-3.948394,2145.128378,236.065955,01:45:00,6.26839,0.90394,6.11845,-22.72891,13.47804,17.69816,2.63982,-1.27751,78.75935,-6.221946,-0.765757,0.433079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.55213,8.0976,-0.60949,50,6.11314,8.12098,-128.82533,-4.89188,-17.08209,35.90347,-19.06542,SOU_ORE,UMP_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260227-SouthwesternOregonStadium-2,23b0c990-1425-11f1-a814-397d1494005b,87.03362,NA,NA,10.45309,NA,NA,NA,NA,NA,NA,50a3facd-3067-4115-b684-c77917fe400b,2026-02-27,21:41:24,2026-02-27T21:41:24Z,2026-02-27T21:41:24Z,NA,v3,NA,NA,NA,"Porter Strother, John",1000270432,Right,UMP_COM,7b42d9a9-df90-4257-8aab-afe69ebc3d9a,54.37552,-130.03907,17.95173,6.26762,-4.24736,-9.53271,-0.89378,8.69845,-8.54105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
