player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-07,13:05:50,1,1,"Govel, Grant",1000340265,Right,SOU_TRO,"Groves, Nick",823806,Left,ILL_ILL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.08258,-3.000805,-2.312629,2379.889048,209.213248,01:00:00,5.63593,2.11197,6.17812,-11.3869,21.39576,11.35032,1.91104,0.921,83.839340000000007,-5.231548,-0.266521,0.412091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.5352,12.2617,-1.94276,50,5.40289,4.91428,-133.53595,-7.26375,-11.75619,29.76078,-10.11646,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,6bf877d0-1a69-11f1-8c7a-f773e667f33d,91.46622,NA,NA,8.24324,NA,NA,NA,NA,NA,NA,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:05:50,2026-03-07T21:05:50Z,2026-03-07T21:05:50Z,NA,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,87ebdccd-7f6a-4dae-a5e8-3416e2a95949,54.31976,-134.49523,14.88039,5.63177,-6.93767,-5.05823,-2.10726,5.29322,-5.87809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-07,13:06:05,1,2,"Govel, Grant",1000340265,Right,SOU_TRO,"Groves, Nick",823806,Left,ILL_ILL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.57157,-2.705791,-2.612124,2352.415996,202.88593,12:45:00,5.89405,1.76946,6.13679,-8.85717,23.60049,9.50764,2.65079,0.14596,84.2774,-4.480854,-0.900644,0.410044,75.01883,20.769677,-166.196166,1403.746833,-108.01517,18.97184,-20.80155,173.10089,53.89049,-171.596755,2.063658,-5.67756,13.31249,-1.57502,50,5.68271,5.72503,-134.26245,-6.51483,-10.3322,29.89162,-7.9476,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,75212230-1a69-11f1-8c7a-f773e667f33d,91.92299,20.17535,NA,8.29417,NA,NA,NA,1.31246,2.6125,-0.13461,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:06:05,2026-03-07T21:06:05Z,2026-03-07T21:06:05Z,LineDrive,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,6dd9bd37-c0ef-40e8-9367-8ae0282864dc,54.36182,-135.23006,14.94581,5.88943,-6.25756,-3.9738,-1.76575,6.05949,-5.1661,51.463561,1.3124,-99.90163,7.52197,0.37553,-0.29399,0.2168,-0.07211,0.00328,0.00162,2.61251,39.01645,-23.77804,2.54908,-0.27813,-0.04883,0.08033,-0.03105,0.00409,-0.13466,-24.54302,6.51029,-0.31545,-0.08683,0.14869,-0.05768,0.00416,0.00101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-07,13:06:25,1,3,"Govel, Grant",1000340265,Right,SOU_TRO,"Groves, Nick",823806,Left,ILL_ILL,Undefined,1,Top,0,0,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,78.35175,1.007385,-1.286215,2537.968011,33.593115,07:00:00,5.7779,1.76442,5.53547,-58.79814,-12.40993,-9.23709,1.81999,-0.20776,71.8952,-9.670741,-2.936972,0.490202,90.1484,7.407039,-0.679136,899.920985,NA,NA,NA,114.49242,113.93144,-1.994816,0.984162,4.30504,-6.205,-1.64641,50,5.82577,2.90811,-113.77814,-0.00264,5.59497,22.54532,-40.2383,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,812af380-1a69-11f1-8c7a-f773e667f33d,76.89163,5.39498,NA,6.45655,NA,NA,NA,0.92668,1.79485,0.25118,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:06:25,2026-03-07T21:06:25Z,2026-03-07T21:06:25Z,GroundBall,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,a96e6c34-25c5-4148-9e11-7cea19285667,54.96676,-114.75809,11.27266,5.78787,1.74635,-20.11915,-1.76753,2.66492,2.79748,56.770366,0.92668,131.10491,-18.43261,2.95118,-0.62187,0.11927,-0.02453,0.00451,-4.8e-4,1.79485,17.04513,-21.08411,2.34306,-0.50214,0.11628,-0.02412,0.00465,-5.5e-4,0.25118,-1.55408,-3.77305,1.2601,-0.33779,0.08421,-0.01954,0.00396,-4.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-07,13:07:03,2,1,"Govel, Grant",1000340265,Right,SOU_TRO,"Farina, Michael",1000463288,Right,ILL_ILL,Undefined,1,Top,0,0,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.35326,-2.870644,-3.649135,2394.196238,184.657389,12:15:00,5.73544,2.06406,6.34358,-17.00521,17.46403,1.33516,1.66806,-1.1886,82.0298,-6.103684,-3.408296,0.422559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68917,10.22284,-1.79919,50,5.51809,8.20916,-129.53651,-6.96917,-2.87684,26.46657,-14.76357,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,977d5e20-1a69-11f1-8c7a-f773e667f33d,89.20043,NA,NA,7.32346,NA,NA,NA,NA,NA,NA,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:07:03,2026-03-07T21:07:03Z,2026-03-07T21:07:03Z,NA,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,e19535dc-be29-42d4-a2bb-a1a9da813152,54.15506,-130.3827,13.23329,5.73336,-6.49715,-7.38179,-2.06312,8.30114,-1.43842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-07,13:07:36,2,2,"Govel, Grant",1000340265,Right,SOU_TRO,"Farina, Michael",1000463288,Right,ILL_ILL,Undefined,1,Top,0,1,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,82.40279,-1.272175,-4.19864,1942.208811,248.862597,02:15:00,5.58443,2.22525,6.0399,-31.72769,9.27583,20.61903,1.7592,0.04905,75.58785,-7.169361,-0.495296,0.460874,96.29697,7.855248,-30.256448,2067.916172,90.92748,6.54212,-61.90408,157.21499,156.03872,-36.400907,1.341483,-11.84016,5.50536,-1.90874,50,5.46774,7.99905,-119.48926,-3.63001,-17.13434,22.81867,-24.20705,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,ab672d30-1a69-11f1-8c7a-f773e667f33d,81.78473,7.59923,NA,6.81493,NA,NA,NA,1.84969,1.80082,-0.01004,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:07:36,2026-03-07T21:07:36Z,2026-03-07T21:07:36Z,LineDrive,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,5d47b089-e330-46f6-94da-f446f96c4caf,54.46075,-120.3381,11.40933,5.58602,-2.72951,-12.10352,-2.21816,8.63644,-8.56717,NA,1.84968,120.85222,-26.58838,5.52947,-1.07167,0.17332,-0.13143,0.11256,-0.03131,1.80083,19.30226,-16.71418,1.20191,-0.26015,0.11579,-0.01562,-0.02402,0.0096,-0.01004,-70.49545,-0.85806,1.72258,-0.4383,-0.02801,-0.00491,0.06081,-0.02269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-07,13:08:17,3,1,"Govel, Grant",1000340265,Right,SOU_TRO,"Contreras, Daniel",813294,Right,ILL_ILL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.7269,-3.564765,-2.9364,2401.378816,211.123392,01:00:00,5.90938,1.85951,5.95698,-12.92009,19.89863,11.31847,1.51833,0.07729,84.08836,-6.06509,-0.905777,0.412318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.73099,11.65505,-1.63264,50,5.6185600000000004,6.39792,-134.23524,-8.7183,-12.17504,31.40843,-11.09232,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,c3e24430-1a69-11f1-8c7a-f773e667f33d,91.41595,NA,NA,8.63854,NA,NA,NA,NA,NA,NA,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:08:17,2026-03-07T21:08:17Z,2026-03-07T21:08:17Z,NA,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,e7398351-ecdb-40ca-a3d9-f0c2c70b4d98,54.5413,-135.29364,15.70421,5.90605,-8.34451,-5.54616,-1.85515,6.8082,-6.08752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-07,13:08:34,3,2,"Govel, Grant",1000340265,Right,SOU_TRO,"Contreras, Daniel",813294,Right,ILL_ILL,Undefined,1,Top,0,0,1,Cutter,Cutter,InPlay,Undefined,FlyBall,Out,1,0,NA,88.18891,-0.853191,-2.854807,2477.099546,188.293012,12:15:00,5.58606,2.27666,6.13094,-22.26761,12.9928,1.74929,2.94078,-0.21846,81.52171,-5.021672,-2.540034,0.427381,95.2608,16.788511,-4.664829,2177.503655,109.92787,29.98581,-3.97969,293.85676,284.78783,1.781635,3.383261,-1.6148,7.24701,-2.05939,50,5.5091,6.32222,-128.15849,-2.59609,-2.71497,23.77889,-19.98957,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,cdcf9e20-1a69-11f1-8c7a-f773e667f33d,88.19403,35.50113,NA,6.6672,NA,NA,NA,1.43846,2.93163,0.24487,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:08:34,2026-03-07T21:08:34Z,2026-03-07T21:08:34Z,LineDrive,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,f5dde70c-f731-4d22-837e-629d83669ebd,54.3688,-128.96654,11.88945,5.58578,-1.9168,-9.99479,-2.2758,6.41448,-1.35748,211.744275,1.4385,133.31826,-24.3412,5.21529,-1.05107,0.21706,-0.04364,0.00626,-4e-4,2.93159,40.35118,-12.33285,-0.39109,0.32241,-0.14706,0.04776,-0.0082,5.7e-4,0.24485,-10.88235,8.8793,-2.78969,0.77421,-0.2268,0.05895,-0.00959,6.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-07,13:09:15,4,1,"Govel, Grant",1000340265,Right,SOU_TRO,"Schupmann, Kyle",813265,Right,ILL_ILL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.71682,-0.041313,-2.46833,2386.592521,24.415686,06:45:00,5.71903,1.75758,5.92813,-53.31841,-9.26087,-4.82925,1.23746,-0.93649,73.43809,-9.778879,-3.336938,0.477729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76799,-4.38496,-1.55745,50,5.68536,5.16893,-115.78562,-1.81537,2.38751,22.68328,-38.09537,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,e6484420-1a69-11f1-8c7a-f773e667f33d,78.89921,NA,NA,6.27872,NA,NA,NA,NA,NA,NA,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:09:15,2026-03-07T21:09:15Z,2026-03-07T21:09:15Z,NA,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,88cc1e25-580f-432a-bc8b-0afc33d668b5,54.57347,-116.67816,11.34164,5.7273,-0.3164,-19.04769,-1.75899,5.07498,1.19376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-07,13:09:33,4,2,"Govel, Grant",1000340265,Right,SOU_TRO,"Schupmann, Kyle",813265,Right,ILL_ILL,Undefined,1,Top,1,1,0,Cutter,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,NA,86.65054,-1.293304,-2.447243,2307.788712,197.835702,12:30:00,5.78785,2.02124,6.04619,-21.28076,15.46666,4.62835,2.81584,0.13995,79.84558,-5.29178,-1.615076,0.4363,93.53824,3.58456,-32.924326,4264.545982,NA,NA,NA,71.75909,67.8372,-34.397967,0.561258,-3.02969,8.65008,-1.83317,50,5.67552,5.19963,-125.89212,-3.48107,-4.89833,23.77876,-18.18869,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,f0d8bbe0-1a69-11f1-8c7a-f773e667f33d,86.3912,3.34961,NA,6.80496,NA,NA,NA,2.24694,2.62322,0.02737,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:09:33,2026-03-07T21:09:33Z,2026-03-07T21:09:33Z,GroundBall,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Cadena, Isaac",822347,Right,SOU_TRO,521b51f6-9176-42d2-bb1e-d3d1bcbd07cb,54.4533,-126.73048,11.88938,5.78695,-2.8398,-9.09435,-2.01954,5.37233,-2.44916,NA,2.28344,114.04987,-22.59559,NA,NA,NA,NA,NA,NA,2.65558,7.79461,-22.41292,NA,NA,NA,NA,NA,NA,0.03441,-74.59549,4.08667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-07,13:12:22,1,1,"Hall, Regan",831323,Left,ILL_ILL,"Covarrubias, Abbrie",805952,Right,SOU_TRO,Undefined,1,Bottom,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,89.63699,-0.432382,3.561942,2039.125955,128.754433,10:15:00,5.19857,-1.56946,5.04491,-22.49635,13.32324,-15.22847,2.91523,0.52566,82.13033,-4.582999,0.877773,0.430755,57.76137,7.526508,34.312386,2674.31359,NA,NA,NA,81.60527,80.058,37.843361,1.087339,8.50067,7.05386,1.24233,50,5.13969,-7.37661,-129.91436,-1.81917,14.60896,25.79692,-20.05151,SOU_TRO,ILL_ILL,DedeauxField,D1,BIG10,20260307-DedeauxField-1,5565da70-1a6a-11f1-8c7a-f773e667f33d,87.50289,5.18199,NA,7.50666,NA,NA,NA,0.05769,2.80097,-0.54445,c83c9ee4-0277-4c27-9ddd-84f4caba8e57,2026-03-07,21:12:22,2026-03-07T21:12:22Z,2026-03-07T21:12:22Z,GroundBall,v3,5047,4805,b67bc46f111e475c9c9bc7dd0acc52c7,"Contreras, Daniel",813294,Right,ILL_ILL,84ed8d08-1b88-430c-abcc-db789a961629,55.45415,-130.99291,12.89846,5.19822,-0.98083,-10.02575,1.56351,-7.9874,7.30448,235.368071,0.05769,69.371,-10.83699,1.68217,-0.33133,0.0509,-0.00614,9.6e-4,-1.1e-4,2.80097,11.09659,-13.12275,0.48673,0.01079,0.00442,9.9e-4,-4.7e-4,3e-5,-0.54445,47.34367,-0.58634,-0.24127,0.12065,-0.02833,0.00641,-0.00106,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
