player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-08,12:02:20,1,1,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Hall, Ronnie",10069122,Right,SOU_VIR2,Undefined,1,Top,0,0,0,Fastball,NA,InPlay,Undefined,GroundBall,Single,0,0,NA,80.99132,-0.892375,3.438123,1971.101818,NA,NA,5.47484,-2.12907,4.70736,NA,NA,NA,1.99558,-0.21407,74.30783,-6.638167,0.593183,0.480261,87.25465,-0.900868,-2.422115,1204.750402,NA,NA,NA,39.13313,39.13313,-2.138664,0.30856,8.91689,7.00048,1.79606,50,5.35652,-6.34433,-117.30601,-2.97382,12.46968,21.44183,-22.38435,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,3147e680-1b08-11f1-957f-93f7fdfe1c22,78.48324,2.08629,NA,6.68349,NA,NA,NA,1.17386,2.08629,0.14033,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:02:20,2026-03-08T16:02:20Z,2026-03-08T16:02:20Z,GroundBall,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,13d18929-1094-485a-bfb3-d20e05ffdc7f,55.79472,-118.36046,10.72092,5.4757,-1.87302,-11.19218,2.12314,-6.95755,6.23484,NA,1.17728,127.69602,-15.50854,NA,NA,NA,NA,NA,NA,2.0879,-2.08155,-15.20069,NA,NA,NA,NA,NA,NA,0.14017,-5.40087,0.69424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-08,12:03:15,2,1,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Mills, Mahki",1000176026,Left,SOU_VIR2,Undefined,1,Top,0,0,0,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.13925,-1.224457,2.702527,1950.635202,NA,NA,5.27988,-2.15523,4.66284,NA,NA,NA,1.64108,-0.61531,73.69469,-6.634582,0.537318,0.485122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75973,8.44737,1.89119,50,5.12844,-4.9457700000000004,-116.12933,-3.54077,9.2848,20.56264,-20.57123,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,51a93cd0-1b08-11f1-957f-93f7fdfe1c22,77.69687,NA,NA,6.44457,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:03:15,2026-03-08T16:03:15Z,2026-03-08T16:03:15Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,b5de999e-830d-4154-80bd-582a0533e37f,55.83807,-117.1585,10.28132,5.27989,-2.51117,-10.28562,2.15035,-5.41048,4.6424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.75092,2.106245,0.822016,1.284229,-0.46564,1.41863,0.59889,-0.55509,6.3067,0.25245,127.27782,-0.02119,0.87549,-0.4108,111.93847,-9.84314,6.32592,9.92473,-11.59373,0.19611,-3.08386,2.85216,Low,Low,Low,NA,NA,Low,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-08,12:03:43,2,2,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Mills, Mahki",1000176026,Left,SOU_VIR2,Undefined,1,Top,0,1,0,Fastball,NA,InPlay,Undefined,Bunt,Out,1,0,NA,79.30205,1.228156,3.064814,1948.025609,NA,NA,5.40322,-2.39908,4.70856,NA,NA,NA,2.97774,-0.9836,72.95516,-6.550467,-0.084461,0.48955,34.32372,40.630948,-42.167395,2258.730812,NA,NA,NA,72.81443,65.57419,-43.180564,2.096971,9.69591,1.56787,2.10588,50,5.48886,-5.40361,-114.97315,0.87488,13.05849,20.0843,-30.06244,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,62b148b0-1b08-11f1-957f-93f7fdfe1c22,76.9941,18.58408,NA,6.34688,NA,NA,NA,2.43937,3.07456,0.90707,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:03:43,2026-03-08T16:03:43Z,2026-03-08T16:03:43Z,GroundBall,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,b06f0329-1c3c-4f8e-b3f6-a50b58a2a03d,55.79591,-115.9812,10.04215,5.40708,2.38374,-15.03122,2.39354,-6.05903,6.52925,NA,2.43935,28.30851,-3.07663,-0.21711,2.65469,-3.81933,2.66649,-0.89765,0.11684,3.07341,32.86036,-19.13324,4.2716,-5.73136,5.14286,-2.41462,0.54993,-0.0473,0.90638,-25.58209,1.21613,2.84334,-8.27616,10.08236,-6.36886,1.99726,-0.24613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-08,12:04:24,3,1,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Rector, E",NA,Right,SOU_VIR2,Undefined,1,Top,1,0,0,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.96396,-2.311819,3.416,1962.694657,NA,NA,5.74434,-2.16817,4.67626,NA,NA,NA,1.17689,0.44757,74.35999,-7.483433,2.086877,0.481291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65646,9.04375,1.82733,50,5.48346,-6.66309,-117.14374,-5.74792,6.48944,21.52122,-19.57032,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,7b0a7fd0-1b08-11f1-957f-93f7fdfe1c22,78.31525,NA,NA,6.60397,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:04:24,2026-03-08T16:04:24Z,2026-03-08T16:04:24Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,088b01ee-5577-4d4b-a2c8-fef32dd39168,55.82461,-118.20897,10.76061,5.74399,-4.77925,-9.78516,2.16508,-6.9843,3.24472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-08,12:04:40,3,2,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Rector, E",NA,Right,SOU_VIR2,Undefined,1,Top,1,1,0,Fastball,NA,InPlay,Undefined,GroundBall,Out,1,0,NA,81.65969,-0.780098,3.886311,2006.631561,NA,NA,5.45068,-2.3972,4.5912,NA,NA,NA,2.48248,0.14271,74.26877,-5.686012,1.449622,0.479271,69.46836,-6.018844,-34.019978,NA,NA,NA,NA,18.63469,18.63469,-30.768537,0.173301,7.9739,9.27493,2.00917,50,5.34615,-7.40423,-118.08772,-2.55931,11.21972,23.22897,-19.12368,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,843f5f30-1b08-11f1-957f-93f7fdfe1c22,78.64537,2.82423,NA,7.39092,NA,NA,NA,1.62838,2.82423,0.26476,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:04:40,2026-03-08T16:04:40Z,2026-03-08T16:04:40Z,GroundBall,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,fa65ff74-fef9-4a45-9e7f-fc35f03ee489,55.90972,-119.24455,11.61449,5.44989,-1.60693,-9.56184,2.39183,-7.96299,5.60986,NA,1.62771,84.03317,-5.93975,NA,NA,NA,NA,NA,NA,2.82452,-10.70543,-32.28271,NA,NA,NA,NA,NA,NA,0.26523,-56.72549,1.06249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-08,12:05:16,4,1,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Irvin, Graham",10916312,Right,SOU_VIR2,Undefined,1,Top,2,0,0,Slider,NA,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,66.4711,1.680074,1.23251,2291.130028,NA,NA,5.26302,-2.15734,4.66723,NA,NA,NA,1.11256,0.78267,61.60443,-10.648264,4.959869,0.586012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.09402,-1.22945,2.01113,50,5.37154,-2.83243,-96.41413,0.64621,-9.48277,15.26596,-33.32906,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,99ce79d0-1b08-11f1-957f-93f7fdfe1c22,64.32025,NA,NA,4.86668,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:05:16,2026-03-08T16:05:16Z,2026-03-08T16:05:16Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,5929a0fb-c915-486d-8379-aeae789561d1,55.83794,-97.33411,7.63298,5.27207,2.65473,-16.66453,2.16461,-2.26097,-4.74139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-08,12:05:34,4,2,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Irvin, Graham",10916312,Right,SOU_VIR2,Undefined,1,Top,2,0,1,Slider,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,67.58805,3.321285,3.729581,2489.709089,NA,NA,5.17689,-2.23291,5.04669,NA,NA,NA,1.97061,2.6253,62.73222,-10.332849,6.547703,0.57301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.00607,-6.90768,1.86312,50,5.43249,-6.92881,-97.8723,3.33855,-6.79779,15.4021,-38.87638,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,a49802f0-1b08-11f1-957f-93f7fdfe1c22,65.77973,NA,NA,4.85583,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:05:34,2026-03-08T16:05:34Z,2026-03-08T16:05:34Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,f79f9578-45ac-4185-9342-008f073bfa3a,55.46154,-98.72804,7.70105,5.18699,5.49852,-19.43819,2.23759,-6.55112,-3.39889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-08,12:05:50,4,3,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Irvin, Graham",10916312,Right,SOU_VIR2,Undefined,1,Top,2,1,1,Fastball,NA,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,79.20186,-0.828214,2.155751,1920.397997,NA,NA,5.29146,-2.22127,4.73046,NA,NA,NA,2.1026,-1.00908,72.24224,-6.127266,0.398584,0.491944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.508,9.4613,2.01314,50,5.18314,-3.88571,-114.71387,-2.64143,7.32385,21.64221,-19.5936,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,ae4594c0-1b08-11f1-957f-93f7fdfe1c22,76.6194,NA,NA,6.95962,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:05:50,2026-03-08T16:05:50Z,2026-03-08T16:05:50Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,65aec224-a300-42e2-b19e-8fb4b3fdd18f,55.7683,-115.79702,10.82111,5.2908,-1.66081,-9.7968,2.21678,-4.25225,3.66193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-08,12:06:12,4,4,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Irvin, Graham",10916312,Right,SOU_VIR2,Undefined,1,Top,2,1,2,Slider,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,66.73839,1.350629,3.514152,2404.559344,NA,NA,5.22055,-2.22797,4.99107,NA,NA,NA,0.98908,2.9263,61.90139,-10.508,7.37881,0.581635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.04406,-0.36831,1.86987,50,5.29657,-6.67702,-96.68579,0.30198,-9.46141,15.75957,-32.52099,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,bb4f9800-1b08-11f1-957f-93f7fdfe1c22,64.8043,NA,NA,4.837,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:06:12,2026-03-08T16:06:12Z,2026-03-08T16:06:12Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,c2176db2-d4e8-4788-9fac-43c6085ba5b7,55.51448,-97.5805,7.87979,5.2270200000000004,2.14827,-16.26049,2.23369,-6.13987,-4.73071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-08,12:06:33,4,5,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Irvin, Graham",10916312,Right,SOU_VIR2,Undefined,1,Top,2,2,2,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.48232,-1.530162,4.192998,1960.553923,NA,NA,5.39154,-2.18292,4.84191,NA,NA,NA,1.84184,0.95037,73.83057,-6.163455,2.417554,0.482482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1178,10.57879,1.77668,50,5.21897,-8.1059,-116.4431,-3.96089,8.43859,20.91947,-17.58219,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,c7d32d30-1b08-11f1-957f-93f7fdfe1c22,78.12201,NA,NA,6.65175,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:06:33,2026-03-08T16:06:33Z,2026-03-08T16:06:33Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,534670d0-638f-40a5-a61c-7c958e1e9a85,55.659,-117.45537,10.45973,5.39005,-3.11011,-8.79109,2.17879,-8.51423,4.21929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-03-08,12:06:51,4,6,"Cloninger, Caleb",1000456020,Left,CLE_CLE2,"Irvin, Graham",10916312,Right,SOU_VIR2,Undefined,1,Top,2,3,2,Fastball,NA,BallCalled,Walk,Undefined,Undefined,0,0,NA,80.21483,-2.09602,4.582321,2016.360567,NA,NA,5.63082,-2.15598,4.87526,NA,NA,NA,1.77352,1.20201,72.83288,-6.277187,2.50569,0.486595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21221,12.58103,1.71516,50,5.40616,-8.77912,-115.83038,-4.9556,9.7413,22.81181,-15.18123,CLE_CLE2,SOU_VIR2,ClevelandCommunityCollegeBaseballField,JUCO,NJCAA,20260308-ClevelandCommunityCollegeBaseballField-1,d2c6d390-1b08-11f1-957f-93f7fdfe1c22,77.46161,NA,NA,7.38195,NA,NA,NA,NA,NA,NA,aeab5cf5-663e-4d9b-aa7d-1d954dd993e8,2026-03-08,16:06:51,2026-03-08T16:06:51Z,2026-03-08T16:06:51Z,NA,v3,643-147292,643-147578,NA,"Negron, Timothy",10901797,Right,CLE_CLE2,fb178f5f-42cb-4bd5-9ce9-0cf71fe2cfc3,55.62448,-116.93283,11.40591,5.62793,-4.22193,-7.59062,2.15081,-9.24989,4.87065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
