player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2026-03-22,13:09:22,2,1,"Thornton, Quincy",838679,Right,SOU_JAG,"Santana, Fabian",1000329210,Right,ALA_HOR,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.10037,-1.468366,-3.145548,2144.750022,218.107136,01:15:00,5.57641,2.27369,5.91534,-21.60481,14.13367,10.26245,2.41079,0.20641,81.21946,-5.508114,-1.306092,0.430268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.05374,7.94331,-2.02698,50,5.44601,6.60569,-127.89826,-3.96527,-10.11883,24.12872,-18.89679,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,410221e0-261a-11f1-950a-2d2aead3c647,87.60213,NA,NA,6.88091,NA,NA,NA,NA,NA,NA,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:09:22,2026-03-22T18:09:22Z,2026-03-22T18:09:22Z,NA,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,bd1faf97-5d53-4ef4-b7b4-b6e987aa4c7e,54.58859,-128.76101,12.06436,5.57572,-3.28959,-9.4484,-2.26965,6.96751,-5.05941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2026-03-22,13:09:41,2,2,"Thornton, Quincy",838679,Right,SOU_JAG,"Santana, Fabian",1000329210,Right,ALA_HOR,Undefined,1,Bottom,0,0,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.36009,-2.253127,-5.711663,1973.180783,225.795055,01:30:00,5.52425,2.12608,6.01886,-33.64974,14.25461,13.11379,0.62143,-2.08967,70.46822,-8.481785,-3.367874,0.498148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.27142,8.38599,-1.68399,50,5.32813,10.5855,-110.40592,-5.30522,-10.26627,18.63545,-21.76557,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,4e5d7970-261a-11f1-950a-2d2aead3c647,75.66507,NA,NA,5.89188,NA,NA,NA,NA,NA,NA,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:09:41,2026-03-22T18:09:41Z,2026-03-22T18:09:41Z,NA,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,b9d08afe-3053-43a7-9261-05c58d8ae73f,54.4851,-111.16038,9.31773,5.52508,-4.42404,-10.88279,-2.12096,11.00113,-5.13313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2026-03-22,13:10:05,2,3,"Thornton, Quincy",838679,Right,SOU_JAG,"Santana, Fabian",1000329210,Right,ALA_HOR,Undefined,1,Bottom,0,1,1,Slider,Changeup,InPlay,Undefined,Popup,Single,0,1,NA,78.83779,-0.11404,-3.298366,2148.310872,238.608882,02:00:00,5.57958,2.14693,5.77512,-34.86238,10.19469,14.44162,2.56808,0.27755,72.47875,-6.563555,-0.716054,0.483118,63.68187,24.026449,5.029203,3095.376662,108.78641,25.98069,16.29162,188.70198,188.70198,10.927566,2.703712,-8.26556,5.64008,-1.88297,50,5.54896,6.05316,-114.4103,-1.298,-10.9995,20.32124,-24.66844,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,5e607160-261a-11f1-950a-2d2aead3c647,78.01918,26.38959,NA,6.35904,NA,NA,NA,0.98486,2.57783,-0.2609,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:10:05,2026-03-22T18:10:05Z,2026-03-22T18:10:05Z,LineDrive,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,e828c491-62fb-4613-a211-4f49acdbc8b7,54.72915,-115.24721,10.16062,5.5815,-0.28204,-12.33422,-2.14159,6.50616,-5.49975,225.510857,0.98475,84.98489,-9.83996,2.17926,-0.62724,0.27838,-0.11315,0.02639,-0.00245,2.57797,38.02051,-15.88534,0.4585,0.2903,-0.29721,0.1372,-0.02991,0.00249,-0.26085,7.47439,3.764,-1.10641,0.43514,-0.22139,0.08867,-0.01961,0.00175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2026-03-22,13:12:19,3,4,"Thornton, Quincy",838679,Right,SOU_JAG,"Espaillat, Alex",831278,Right,ALA_HOR,Undefined,1,Bottom,0,2,1,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,1,0,NA,79.21418,0.249196,-1.689477,2448.238148,119.304795,10:00:00,5.56384,2.31412,5.25973,-41.24014,3.40799,-4.12036,2.36141,0.38287,74.25963,-7.212707,-2.420386,0.48092,94.6658,-5.655858,48.808846,NA,NA,NA,NA,23.57925,21.49237,47.026913,0.173597,1.71854,1.96173,-2.15599,50,5.55561,3.55884,-115.23479,-0.92182,2.36188,16.97627,-29.47791,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,ab14ac60-261a-11f1-950a-2d2aead3c647,78.37568,2.25981,NA,4.95455,NA,NA,NA,0.72324,2.25981,-0.39718,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:12:19,2026-03-22T18:12:19Z,2026-03-22T18:12:19Z,GroundBall,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,84984d8e-1f52-48a7-949d-cb236fa0368f,55.24701,-116.0052,8.48813,5.56708,0.41594,-14.73895,-2.31507,3.45166,1.18094,191.873587,0.72393,90.94102,-14.56029,NA,NA,NA,NA,NA,NA,2.25887,-13.61166,3.48989,NA,NA,NA,NA,NA,NA,-0.39665,103.93295,-13.07403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2026-03-22,13:13:22,3,5,"Thornton, Quincy",838679,Right,SOU_JAG,"Espaillat, Alex",831278,Right,ALA_HOR,Undefined,1,Bottom,1,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,72.23323,-0.428565,-3.178212,2449.263746,71.150495,08:15:00,5.71586,1.98314,5.30421,-55.43633,-0.01602,-5.55579,0.69319,-1.46667,66.26486,-10.470927,-4.164261,0.535804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81953,0.60075,-1.68973,50,5.63633,6.00941,-104.62816,-2.51941,1.99392,19.53639,-31.51572,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,d45966b0-261a-11f1-950a-2d2aead3c647,70.34745,NA,NA,5.96838,NA,NA,NA,NA,NA,NA,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:13:22,2026-03-22T18:13:22Z,2026-03-22T18:13:22Z,NA,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,9d82102f-7ed8-4d13-9b21-163007140d9b,55.19998,-105.59465,9.76819,5.7224,-0.9603,-15.75786,-1.98458,5.91077,0.99696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.83765,NA,NA,1.044946,NA,NA,NA,4.58332,5.66378,6.51542,65.59134,8.70245,59.22561,4.62673,62.09413,-3.57942,5.70328,17.7803,-14.25702,6.5558,53.85153,-3.28873,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2026-03-22,13:14:19,4,1,"Thornton, Quincy",838679,Right,SOU_JAG,"Chandler, Devin",809402,Right,ALA_HOR,Undefined,1,Bottom,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.36399,-2.568213,-3.651462,2236.210964,221.072926,01:15:00,5.60075,2.17043,6.02664,-19.5284,15.20473,12.33174,1.58824,-0.18853,82.24963,-6.236956,-1.437891,0.424174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.33331,8.8293,-1.89109,50,5.38849,7.77047,-129.59491,-6.42339,-12.55296,25.42542,-17.06033,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,f26beb00-261a-11f1-950a-2d2aead3c647,88.8609,NA,NA,7.11435,NA,NA,NA,NA,NA,NA,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:14:19,2026-03-22T18:14:19Z,2026-03-22T18:14:19Z,NA,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,25980e42-66c3-4aed-b564-2468a759a1ae,54.47827,-130.47055,12.71271,5.5996,-5.83584,-8.53016,-2.16614,8.20279,-6.27648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2026-03-22,13:14:36,4,2,"Thornton, Quincy",838679,Right,SOU_JAG,"Chandler, Devin",809402,Right,ALA_HOR,Undefined,1,Bottom,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.64768,-1.668755,-3.784555,2168.844068,214.988749,01:15:00,5.55642,2.27414,5.90587,-21.53974,13.2428,8.50937,2.20849,-0.53513,82.18144,-5.699749,-2.261464,0.424475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.39205,7.56823,-1.97443,50,5.40961,8.24059,-129.96963,-4.48816,-9.24847,26.53745,-19.1929,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,fc2f4ec0-261a-11f1-950a-2d2aead3c647,88.7978,NA,NA,7.46624,NA,NA,NA,NA,NA,NA,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:14:36,2026-03-22T18:14:36Z,2026-03-22T18:14:36Z,NA,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,76144e14-9390-4097-83d4-f4db14348325,54.59771,-130.90503,13.26873,5.55589,-3.81164,-9.59645,-2.27065,8.56658,-4.62424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2026-03-22,13:14:55,4,3,"Thornton, Quincy",838679,Right,SOU_JAG,"Chandler, Devin",809402,Right,ALA_HOR,Undefined,1,Bottom,2,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.34205,-2.239076,-3.875772,2172.36766,223.724897,01:30:00,5.49572,2.25224,5.84315,-20.59627,14.47965,12.80674,1.69251,-0.28823,82.01623,-6.094284,-1.585705,0.426261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.64768,8.34331,-1.9439,50,5.3007,8.24635,-129.5066,-5.73604,-13.03985,26.04136,-17.94806,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,07f894a0-261b-11f1-950a-2d2aead3c647,88.42563,NA,NA,7.32582,NA,NA,NA,NA,NA,NA,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:14:55,2026-03-22T18:14:55Z,2026-03-22T18:14:55Z,NA,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,69b1716a-7cda-46dc-8e6f-d4891abe5dd9,54.66208,-130.44069,13.02068,5.49491,-5.09226,-8.97403,-2.24808,8.71408,-6.51992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2026-03-22,13:15:18,4,4,"Thornton, Quincy",838679,Right,SOU_JAG,"Chandler, Devin",809402,Right,ALA_HOR,Undefined,1,Bottom,2,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,79.55283,0.090188,-1.4772,2504.04388,111.311242,09:45:00,5.57914,2.13558,5.28401,-41.96581,3.96937,-5.88701,2.16672,0.25735,71.90276,-7.604294,-2.522369,0.487803,99.23519,25.150094,-37.307551,2579.053137,85.1159,39.22789,-69.67965,303.01026,199.04697,-48.74937,3.295634,2.48032,2.38728,-1.99619,50,5.55674,3.20873,-115.25483,-1.24734,3.27509,25.08733,-29.02181,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,15e1ad40-261b-11f1-950a-2d2aead3c647,77.26986,45.11841,NA,7.65007,NA,NA,NA,2.88381,2.46617,-0.30365,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:15:18,2026-03-22T18:15:18Z,2026-03-22T18:15:18Z,FlyBall,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,dd7e63b1-d613-4ece-8c59-c644e8f83c3a,55.21834,-116.38515,12.54367,5.58348,0.06026,-14.51091,-2.13744,3.06117,1.63755,NA,2.88345,104.80289,-18.39404,2.65613,-0.75626,0.25533,-0.07466,0.01283,-8.9e-4,2.46636,61.84878,-26.68203,3.84464,-0.77145,0.1252,-0.00869,-2.1e-4,2e-5,-0.30363,-79.85165,5.35617,-1.10179,0.26178,-0.06446,0.01407,-0.00212,1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2026-03-22,13:15:55,4,5,"Thornton, Quincy",838679,Right,SOU_JAG,"Chandler, Devin",809402,Right,ALA_HOR,Undefined,1,Bottom,2,0,2,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.57874,-2.873213,-5.490079,2105.936088,239.374577,02:00:00,5.48325,2.0981900000000002,5.94245,-35.63124,11.19552,15.66619,-0.16596,-1.70497,70.43304,-9.512978,-2.688837,0.492514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.02859,7.30831,-1.668,50,5.23318,10.29828,-113.2357,-6.7474,-12.65985,26.02029,-22.94817,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,2b8d2980-261b-11f1-950a-2d2aead3c647,76.5307,NA,NA,8.1457,NA,NA,NA,NA,NA,NA,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:15:55,2026-03-22T18:15:55Z,2026-03-22T18:15:55Z,NA,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,f4ed7317-7ebf-4c56-ae27-e7c4f4092249,54.55808,-114.27829,13.01014,5.48512,-5.8279,-11.47409,-2.0908,10.80554,-6.32993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2026-03-22,13:16:19,4,6,"Thornton, Quincy",838679,Right,SOU_JAG,"Chandler, Devin",809402,Right,ALA_HOR,Undefined,1,Bottom,2,1,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,89.85661,-1.426224,-3.3154690000000002,2182.875411,221.937663,01:30:00,5.61312,2.17034,5.82599,-21.14966,14.26702,11.61737,2.52218,0.05259,80.65499,-5.433241,-1.237095,0.428327,103.91247,13.078031,-30.416189,2762.189302,92.7631,16.40114,-59.11857,210.22903,195.43537,-35.242347,1.784225,-7.05902,8.14138,-1.90598,50,5.48404,7.03266,-130.06024,-3.91176,-11.85625,32.22299,-18.49987,ALA_HOR,SOU_JAG,AlabamaState,D1,SWAC,20260322-AlabamaState-1,39971090-261b-11f1-950a-2d2aead3c647,87.99926,16.40129,NA,9.20162,NA,NA,NA,2.48667,2.8537,-0.14866,17ad8f36-54eb-4bda-bf60-6044e44a4b79,2026-03-22,18:16:19,2026-03-22T18:16:19Z,2026-03-22T18:16:19Z,LineDrive,v3,4765,4767,NA,"Bradley, Xavier",830965,Right,SOU_JAG,d104f12c-d1d1-417a-8814-31e658bc46eb,54.67534,-131.21346,16.1115,5.61219,-3.24968,-9.24993,-2.16527,7.45698,-5.92812,NA,2.48668,128.02166,-26.66953,6.70368,-2.44957,1.64282,-0.96038,0.31291,-0.0418,2.8537,34.48545,-23.92041,2.81889,-0.30158,-0.38022,0.34287,-0.1243,0.01733,-0.14865,-75.1572,4.30844,0.15726,-0.79243,1.01506,-0.69121,0.23673,-0.03236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
