player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-19,16:03:24,1,1,"Marcum, Reese",703541,Right,GUL_COM,"Rardin, Griffin",10165407,Right,SHE_STA,Undefined,1,Top,0,0,0,Fastball,NA,InPlay,Undefined,LineDrive,Out,1,0,NA,89.39627,-0.417076,-2.749808,2146.738536,NA,NA,5.32717,1.11094,5.33779,NA,NA,NA,2.30247,-0.46421,82.39,-6.185894,-0.605243,0.428652,67.30681,18.035695,5.913023,2022.420162,108.09925,12.52427,20.36028,148.17474,141.10291,12.407381,1.910467,-6.81941,2.33654,-0.87188,50,5.2666,5.70156,-129.78589,-2.15019,-11.71778,25.2799,-28.15916,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,6f0e0bf0-0dd6-11f1-9a33-fdab5f88cdc1,87.93252,15.574,NA,7.00628,NA,NA,NA,1.64744,2.33858,0.43974,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:03:24,2026-02-19T21:03:24Z,2026-02-19T21:03:24Z,LineDrive,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,5b4d41d9-7752-482a-898b-5032284d9ffb,55.1632,-130.78771,12.63995,5.3297,-1.03426,-14.07958,-1.10703,6.16592,-5.85889,NA,1.64744,93.36652,-12.21426,1.8627,-0.35337,0.05131,-0.00864,0.00136,-1.1e-4,2.33858,30.56355,-18.74234,1.44332,-0.25385,0.04886,-0.00647,9e-4,-1e-4,0.43974,9.66995,5.31002,-1.41645,0.35961,-0.07398,0.01384,-0.00202,1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-19,16:03:57,2,1,"Marcum, Reese",703541,Right,GUL_COM,"Anchors, Owen",829598,Left,SHE_STA,Undefined,1,Top,1,0,0,Fastball,NA,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.49159,-0.832373,-2.136871,2234.894118,NA,NA,5.41912,0.87183,5.71971,NA,NA,NA,2.36248,-0.34461,83.18134,-5.887345,-0.473196,0.420858,76.08595,54.776581,-89.507005,4485.054603,NA,NA,NA,NA,62.70623,NA,NA,-5.34441,3.98937,-0.69924,50,5.33249,4.50908,-131.44607,-2.8875,-9.3888,26.79367,-25.16572,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,825c8560-0dd6-11f1-9a33-fdab5f88cdc1,89.56097,72.1576,NA,7.31025,NA,NA,NA,2.82172,2.50555,0.33247,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:03:57,2026-02-19T21:03:57Z,2026-02-19T21:03:57Z,NA,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,68b98713-9cb4-4a61-b189-5e586dcd4b91,54.78064,-132.41696,13.39683,5.42059,-1.9756,-12.58286,-0.8688,4.84929,-4.6944,NA,2.82172,0.55401,-3.15699,0.7302,-0.22217,0.15335,-0.06597,-0.02829,0.02727,2.50555,91.16107,-26.34358,3.0846,-0.70673,0.16591,-0.01837,-0.03571,0.0201,0.33247,-64.36034,5.01914,-0.89856,0.14348,0.03194,-0.04183,0.0067,0.00509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-19,16:04:15,2,2,"Marcum, Reese",703541,Right,GUL_COM,"Anchors, Owen",829598,Left,SHE_STA,Undefined,1,Top,1,0,1,Fastball,NA,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.72761,-0.211189,-1.486802,1861.145201,NA,NA,5.0421,0.93828,6.11408,NA,NA,NA,0.96228,-1.00116,76.23434,-8.773424,-2.709789,0.457819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13421,-2.91122,-0.82055,50,5.00096,3.36657,-120.295,-1.93604,4.5797,23.94915,-36.4279,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,8d767870-0dd6-11f1-9a33-fdab5f88cdc1,82.33042,NA,NA,6.49327,NA,NA,NA,NA,NA,NA,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:04:15,2026-02-19T21:04:15Z,2026-02-19T21:04:15Z,NA,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,c15ddd40-704b-4e5a-b207-4f93fdf654aa,54.38837,-121.16552,11.97458,5.04726,-0.61194,-18.21395,-0.9399,3.20011,2.28985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-19,16:04:38,2,3,"Marcum, Reese",703541,Right,GUL_COM,"Anchors, Owen",829598,Left,SHE_STA,Undefined,1,Top,1,0,2,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.43672,-0.186382,-1.036569,2254.966599,NA,NA,5.83988,1.06802,5.4705,NA,NA,NA,4.60881,1.21281,83.31085,-2.650551,1.345378,0.417133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.00367,10.88934,-0.98606,50,5.81522,1.78792,-134.01339,-0.77917,-12.58631,32.1559,-12.60478,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,9ae509e0-0dd6-11f1-9a33-fdab5f88cdc1,90.36071,NA,NA,9.12588,NA,NA,NA,NA,NA,NA,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:04:38,2026-02-19T21:04:38Z,2026-02-19T21:04:38Z,NA,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,ededc976-d0f4-45b2-a3c1-289f6b70b6dc,55.02468,-135.21367,16.07795,5.83552,-0.30867,-6.30239,-1.06157,2.25773,-6.29316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-19,16:04:55,2,4,"Marcum, Reese",703541,Right,GUL_COM,"Anchors, Owen",829598,Left,SHE_STA,Undefined,1,Top,1,1,2,Slider,NA,InPlay,Undefined,GroundBall,Out,1,0,NA,76.0078,1.703092,-1.340504,2945.639356,NA,NA,5.41219,1.09055,5.70353,NA,NA,NA,2.24223,-0.59776,69.59339,-8.735683,-2.283798,0.503704,78.18871,-24.240698,46.766741,NA,NA,NA,NA,8.26342,8.26342,33.556821,0.052831,2.29977,-4.27575,-0.97473,50,5.519,2.77274,-110.35411,1.4671,2.81412,21.05122,-37.40608,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,a5681420-0dd6-11f1-9a33-fdab5f88cdc1,74.83056,2.49452,NA,6.41441,NA,NA,NA,3.09146,2.49452,0.5314,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:04:55,2026-02-19T21:04:55Z,2026-02-19T21:04:55Z,GroundBall,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,c318ef9c-2a74-4e8f-a588-3a7fe118b290,54.7981,-111.26563,10.52561,5.42041,3.08679,-18.70304,-1.09215,2.65089,1.40706,NA,3.08972,71.82846,NA,NA,NA,NA,NA,NA,NA,2.49567,-47.21714,NA,NA,NA,NA,NA,NA,NA,0.52956,76.40062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-19,16:05:27,3,1,"Marcum, Reese",703541,Right,GUL_COM,"Henderson, Jackson",10088522,Right,SHE_STA,Undefined,1,Top,2,0,0,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,75.07247,2.308123,-1.170499,2923.553076,NA,NA,5.15675,0.91097,5.63035,NA,NA,NA,1.79895,-1.39445,68.27929,-9.753679,-3.77446,0.513261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00193,-8.03323,-0.80176,50,5.31085,2.76287,-108.89488,2.24019,8.25257,22.41084,-41.64213,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,b89968a0-0dd6-11f1-9a33-fdab5f88cdc1,73.43715,NA,NA,6.79317,NA,NA,NA,NA,NA,NA,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:05:27,2026-02-19T21:05:27Z,2026-02-19T21:05:27Z,NA,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,0afd9323-8332-4828-9226-0ce466bfc07e,54.87221,-109.89302,11.20542,5.16977,4.09486,-20.82106,-0.91662,2.39532,4.12628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-19,16:05:43,3,2,"Marcum, Reese",703541,Right,GUL_COM,"Henderson, Jackson",10088522,Right,SHE_STA,Undefined,1,Top,2,0,1,Fastball,NA,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,91.65098,-1.008173,-3.040151,2273.510502,NA,NA,5.3954,0.86219,5.62642,NA,NA,NA,2.39909,-0.94193,84.36092,-5.562906,-0.823914,0.41601900000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.09418,5.00473,-0.61122,50,5.29355,6.51513,-133.03678,-3.23773,-12.80942,26.53688,-23.13739,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,c1a53c30-0dd6-11f1-9a33-fdab5f88cdc1,90.60268,NA,NA,7.29006,NA,NA,NA,NA,NA,NA,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:05:43,2026-02-19T21:05:43Z,2026-02-19T21:05:43Z,NA,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,c725cf11-a3f4-46cc-8716-906e9c93db3c,54.87339,-134.00535,13.26844,5.39632,-2.39323,-11.56869,-0.85755,6.98266,-6.40471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-19,16:06:00,3,3,"Marcum, Reese",703541,Right,GUL_COM,"Henderson, Jackson",10088522,Right,SHE_STA,Undefined,1,Top,2,0,2,Fastball,NA,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.19273,-0.427985,-2.912649,2668.183083,NA,NA,5.293,0.9939,5.63771,NA,NA,NA,1.85335,-2.07182,74.71153,-7.1528,-3.653359,0.467912,65.87791,45.004227,36.678296,4692.420522,75.83975,65.55618,79.67616,167.9973,125.2106,52.058541,4.216491,1.2048,3.48229,-0.74344,50,5.23342,6.22588,-119.10187,-2.10105,1.71035,25.37269,-27.2306,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,cc050700-0dd6-11f1-9a33-fdab5f88cdc1,80.55458,66.69401,NA,7.48121,NA,NA,NA,0.48612,1.84252,2.06959,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:06:00,2026-02-19T21:06:00Z,2026-02-19T21:06:00Z,Popup,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,a730d801-c86e-46ba-9c9a-9cfb9fa996f1,54.85976,-120.1327,12.68635,5.2963,-0.99473,-13.6153,-0.99497,6.15639,0.85518,NA,0.48545,54.80932,-15.10321,3.77962,-1.01083,0.29908,-0.07121,0.00994,-5.8e-4,1.84377,68.29108,-20.45366,1.47457,0.05069,-0.15505,0.05114,-0.00728,3.9e-4,2.06945,40.81029,-4.58104,0.99003,-0.21692,0.05843,-0.01463,0.00218,-1.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-19,16:06:32,3,4,"Marcum, Reese",703541,Right,GUL_COM,"Henderson, Jackson",10088522,Right,SHE_STA,Undefined,1,Top,2,0,2,Fastball,NA,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.73745,0.265372,-1.784115,2274.23205,NA,NA,5.17958,0.45446,5.68648,NA,NA,NA,3.10418,-1.37031,84.67518,-4.868193,-2.130023,0.414273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53673,2.91103,-0.30312,50,5.18444,4.23916,-133.32279,-0.41569,0.97596,25.92001,-26.88094,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,decd1260-0dd6-11f1-9a33-fdab5f88cdc1,90.98446,NA,NA,7.06227,NA,NA,NA,NA,NA,NA,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:06:32,2026-02-19T21:06:32Z,2026-02-19T21:06:32Z,NA,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,c06dc1c8-b597-4215-8afa-dcf05570fb54,54.81236,-134.25513,12.96001,5.182,0.55121,-13.44047,-0.45497,4.20405,0.48798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-19,16:06:50,3,5,"Marcum, Reese",703541,Right,GUL_COM,"Henderson, Jackson",10088522,Right,SHE_STA,Undefined,1,Top,2,0,2,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.48971,3.088464,-1.824896,2199.193217,NA,NA,4.9987,0.6625,5.71217,NA,NA,NA,4.56491,-0.89608,83.03976,-4.193163,-1.52033,0.420929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34008,-3.33355,-0.51082,50,5.23266,4.11,-131.33682,5.56842,-2.35594,26.12025,-38.03456,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,e9ecaac0-0dd6-11f1-9a33-fdab5f88cdc1,89.54591,NA,NA,7.44995,NA,NA,NA,NA,NA,NA,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:06:50,2026-02-19T21:06:50Z,2026-02-19T21:06:50Z,NA,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,c1edbeef-81a0-4064-83c8-a0eb6f065e29,54.78861,-132.28575,13.06013,5.00526,6.95019,-19.01728,-0.66169,4.19559,-1.17797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-02-19,16:07:06,3,6,"Marcum, Reese",703541,Right,GUL_COM,"Henderson, Jackson",10088522,Right,SHE_STA,Undefined,1,Top,2,1,2,Slider,NA,InPlay,Undefined,LineDrive,Out,1,0,NA,75.65661,2.476563,-1.670289,2969.089494,NA,NA,5.22293,0.82335,5.78929,NA,NA,NA,2.17682,-1.80023,69.50516,-9.24025,-3.970139,0.505015,85.26368,18.836328,27.274428,3082.931696,94.09504,29.6239,56.97474,253.99359,239.95326,36.47067,3.284094,6.08055,-7.99705,-0.67787,50,5.38808,3.66397,-109.86524,2.7092,7.38331,20.65437,-41.88446,GUL_COM,SHE_STA,GulfCoastState,JUCO,NJCAA,20260219-GulfCoastState-1,f39c8680-0dd6-11f1-9a33-fdab5f88cdc1,74.63622,32.2173,NA,6.15145,NA,NA,NA,0.11552,1.96766,1.75792,cd571e2a-e330-465a-8ba7-e13d4db6f3ae,2026-02-19,21:07:06,2026-02-19T21:07:06Z,2026-02-19T21:07:06Z,LineDrive,v3,NA,NA,NA,"Mann, Brayden",1000111186,Right,GUL_COM,1c0d3609-d64f-4a7d-b59a-fa71399fcc68,54.71474,-110.74805,10.32719,5.23402,4.49942,-20.94223,-0.82773,3.34839,3.69165,NA,0.11585,105.18586,-21.15557,4.01758,-0.76137,0.14644,-0.03036,0.0049,-3.6e-4,1.9671400000000001,40.39313,-14.93174,1.3719,-0.38332,0.07122,0.00237,-0.00296,3.3e-4,1.75745,54.25304,-4.11023,0.91059,-0.2731,0.04114,0.00668,-0.0034,3.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
