player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-15,13:05:52,1,1,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.31507,-0.535617,3.069208,2173.780112,105.124876,09:30:00,5.82373,-2.23896,5.53878,-30.01635,4.8267,-14.57765,2.82099,-0.58225,83.31184,-6.016903,0.472306,0.424844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04619,2.84693,1.98237,50,5.75699,-6.32902,-129.83202,-2.33237,14.0266,21.74913,-27.21107,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,58972970-0aa1-11f1-8e38-596899278e87,88.72067,NA,NA,6.00323,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:05:52,2026-02-15T19:05:52Z,2026-02-15T19:05:52Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,1ab0e9ff-cc6a-4331-b322-d923bd40c17f,54.96587,-130.66124,10.87457,5.82614,-1.2949,-13.60553,2.23387,-6.86381,7.0133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-15,13:06:06,1,2,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.99733,-1.953535,4.315247,2149.158553,112.146149,09:45:00,5.75489,-2.22492,4.63938,-26.36958,8.6,-18.77651,1.69481,0.31932,84.52102,-6.707069,1.031391,0.425615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.28028,4.92973,1.80051,50,5.52997,-9.05107,-131.84832,-5.6119,18.42055,23.32761,-23.34081,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,60afc360-0aa1-11f1-8e38-596899278e87,88.55997,NA,NA,6.47632,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:06:06,2026-02-15T19:06:06Z,2026-02-15T19:06:06Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,69858257-36b4-4b91-bb85-a8498e63da04,55.86622,-132.88217,11.6638,5.75576,-4.57747,-11.6704,2.21973,-9.86744,9.21028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-15,13:06:30,1,3,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.70307,-3.286491,2.984036,1548.980448,97.084248,09:15:00,6.04644,-1.75372,4.852,-38.46467,2.86142,-13.27981,-0.27784,-0.03288,77.80285,-10.163793,0.642352,0.462683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.40811,2.54158,1.47099,50,5.68792,-5.75336,-121.24583,-8.44267,11.11933,21.85858,-28.3592,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,6f2ae2d0-0aa1-11f1-8e38-596899278e87,81.46494,NA,NA,5.90022,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:06:30,2026-02-15T19:06:30Z,2026-02-15T19:06:30Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,32a9da60-cd43-4fd0-9891-6caa426fef06,55.653,-122.26073,10.92929,6.04934,-7.12595,-14.1796,1.7501,-6.26963,5.55967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-15,13:06:52,1,4,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.23242,0.258547,1.690044,2098.101073,164.584648,11:30:00,6.13242,-1.93355,5.13384,-34.48376,4.82571,-1.01319,3.50237,-0.42591,78.54131,-6.02001,1.510772,0.451253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93673,2.70232,1.77576,50,6.13005,-3.60618,-123.73955,-0.73913,1.46332,22.94978,-27.95266,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,7c299b70-0aa1-11f1-8e38-596899278e87,83.52841,NA,NA,6.6911,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:06:52,2026-02-15T19:06:52Z,2026-02-15T19:06:52Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,2bce84ab-2739-4b94-b2f9-93e524b75da6,55.36765,-124.73111,11.47489,6.13589,0.46858,-13.97633,1.93293,-3.6694,0.73166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-15,13:07:11,1,5,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,2,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.22902,-0.563549,4.487709,2129.21328,100.864961,09:15:00,5.7134,-2.22027,5.12747,-30.0012,4.76622,-18.8969,2.68086,0.44051,83.16217,-6.043524,1.154674,0.424383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75796,2.83291,1.81359,50,5.63698,-9.48566,-132.03817,-2.49352,18.95644,28.60388,-27.18219,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,87c541a0-0aa1-11f1-8e38-596899278e87,88.8171,NA,NA,8.06685,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:07:11,2026-02-15T19:07:11Z,2026-02-15T19:07:11Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,17a5dd8f-8db0-4a45-b1eb-a1ba9e1a599a,55.3762,-133.19774,14.30194,5.71573,-1.39158,-13.5911,2.2137,-10.25413,9.47822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-15,13:07:35,1,6,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,2,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.73654,-1.701734,4.612628,2217.946632,115.381391,09:45:00,5.70591,-2.19909,4.81819,-25.9019,8.46453,-15.7528,1.9297,0.86704,84.77062,-6.396741,1.851438,0.421928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93788,4.86835,1.75451,50,5.51397,-9.96315,-132.82257,-5.0218,16.17139,25.03433,-23.36574,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,95a22540-0aa1-11f1-8e38-596899278e87,89.33376,NA,NA,6.96592,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:07:35,2026-02-15T19:07:35Z,2026-02-15T19:07:35Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,62ebdbfa-0dac-415c-a250-1e4cfb27cfb2,55.6862,-133.89001,12.51717,5.70686,-4.02551,-11.68287,2.19403,-10.65268,8.0857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-15,13:07:57,1,7,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,2,2,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.10833,1.406458,0.603657,1987.458196,136.970756,10:30:00,6.12631,-1.87549,5.15668,-34.0034,4.15673,-2.93256,4.61702,-1.55159,79.8082,-4.779568,0.084493,0.444607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5989,2.0761,1.82142,50,6.23153,-1.18853,-125.14548,1.77768,2.5766,21.43124,-28.82841,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,a2b8aba0-0aa1-11f1-8e38-596899278e87,84.77696,NA,NA,6.30013,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:07:57,2026-02-15T19:07:57Z,2026-02-15T19:07:57Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,95d10b34-8a3a-4c1b-9c1c-67f0988215c2,55.34595,-126.05765,10.71562,6.12975,3.00469,-14.41421,1.87434,-1.2982,1.2883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-15,13:08:14,1,8,"Tovar, Jesus",821349,Left,TEX_BOB,"Konings, Noah",1000145636,Right,NIA_EAG,Undefined,1,Top,0,3,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,90.18399,-0.895995,3.511712,2197.429224,103.73578,09:30:00,5.73201,-2.32276,5.71827,-28.74832,5.69382,-19.06934,2.50001,-0.63639,82.97547,-6.194097,0.104276,0.422393,90.97943,-20.855199,-8.203559,NA,NA,NA,NA,8.13876,8.13876,-2.159329,0.052911,10.67087,3.43106,2.04099,50,5.63899,-7.21694,-130.89375,-3.0848,18.62476,26.06763,-26.18552,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,ace669f0-0aa1-11f1-8e38-596899278e87,89.23551,2.51871,NA,7.20852,NA,NA,NA,1.58927,2.51871,0.63672,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:08:14,2026-02-15T19:08:14Z,2026-02-15T19:08:14Z,GroundBall,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,aafeb8e9-fa4b-404b-a5dc-4fc3ac4b931e,54.78605,-131.84346,13.03382,5.734,-2.1308,-13.09276,2.31628,-7.89548,9.31238,NA,1.58708,123.67472,NA,NA,NA,NA,NA,NA,NA,2.51955,-47.60312,NA,NA,NA,NA,NA,NA,NA,0.63704,-17.82964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-15,13:08:59,2,1,"Tovar, Jesus",821349,Left,TEX_BOB,"Cote, Nicholas",10250168,Right,NIA_EAG,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.65588,-0.126228,1.987622,2132.362338,166.563509,11:30:00,5.9907,-1.93238,5.14755,-33.93561,5.69658,-1.09854,3.04382,-0.15178,78.45433,-6.294228,1.79323,0.453102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02929,3.20618,1.74718,50,5.95263,-4.22012,-122.96629,-1.53064,1.59613,21.46276,-27.2022,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,c7fe4be0-0aa1-11f1-8e38-596899278e87,83.1876,NA,NA,6.20154,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:08:59,2026-02-15T19:08:59Z,2026-02-15T19:08:59Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,c86e4afb-db17-4baa-a01b-d5d1ef3b55a1,55.35522,-123.89747,10.73138,5.99344,-0.35044,-13.6011,1.93178,-4.28937,0.79806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-15,13:09:19,2,2,"Tovar, Jesus",821349,Left,TEX_BOB,"Cote, Nicholas",10250168,Right,NIA_EAG,Undefined,1,Top,0,0,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.31825,-0.535382,2.056762,2183.675399,205.828464,12:45:00,6.03999,-1.79502,4.80076,-36.29533,4.34221,1.5334700000000001,2.50772,0.28254,77.96518,-7.080741,2.326441,0.458812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23752,2.61788,1.5886,50,5.95502,-4.46261,-122.35991,-2.5555,-0.36327,22.14746,-28.17017,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,d3c1ec70-0aa1-11f1-8e38-596899278e87,82.15217,NA,NA,6.35306,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:09:19,2026-02-15T19:09:19Z,2026-02-15T19:09:19Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,36c55910-32fd-42c0-961d-b2f92493a6b7,55.70185,-123.38764,11.07373,6.04328,-1.24829,-14.08509,1.79529,-4.44575,-0.18164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.07023,1.505127,0.688282,0.816846,-0.50668,2.26432,-0.36084,-3.38024,5.34052,3.14322,66.63592,6.97746,58.16232,-3.34104,95.19813,-11.76344,5.35273,13.35241,-13.94249,3.14171,69.02594,-2.03972,High,High,High,NA,NA,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-02-15,13:09:41,2,3,"Tovar, Jesus",821349,Left,TEX_BOB,"Cote, Nicholas",10250168,Right,NIA_EAG,Undefined,1,Top,0,0,2,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.79133,1.950351,-1.094416,2251.572299,310.228694,04:15:00,6.24462,-1.69465,5.23274,-57.52861,-9.30008,12.63111,3.28501,-1.67097,71.07751,-8.445392,1.148369,0.499831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.57178,-4.67567,1.78575,50,6.38112,1.63153,-111.56673,1.78296,-8.33791,18.8274,-38.10632,TEX_BOB,NIA_EAG,TexasStateUniversity,D1,SBELT,20260215-TexasStateUniversity-1,e0f1a020-0aa1-11f1-8e38-596899278e87,75.41033,NA,NA,5.71382,NA,NA,NA,NA,NA,NA,93c70397-06a1-4c0f-99c5-5131563b086d,2026-02-15,19:09:41,2026-02-15T19:09:41Z,2026-02-15T19:09:41Z,NA,v3,471452,471382,632eede6f8b94218a7d00635172495ce,"Galloway, Rashawn",1000183398,Right,TEX_BOB,8f9cad54-2cb0-4901-a47a-36cf88f8cc70,55.27316,-112.45308,9.4137,6.25496,3.57692,-19.05316,1.69971,2.02406,-4.16895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
