player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,2026-03-14,16:13:05,1,1,"Lopez, Jordy",826308,Left,CAL_BEA,"French, Carter",803542,Left,NOR_TAR,Undefined,9,Top,0,0,0,Slider,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,7a3106f0-2072-11f1-9e79-e1a8604760ee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:13:05,2026-03-14T23:13:05Z,2026-03-14T23:13:05Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,74e4dd77-9aa6-492f-8208-bc15125787cd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,2026-03-14,16:15:17,1,2,"Lopez, Jordy",826308,Left,CAL_BEA,"French, Carter",803542,Left,NOR_TAR,Undefined,9,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,73.33295,0.10003,2.01773,2278.665798,296.340406,04:00:00,5.53966,-2.26135,4.86451,-55.73546,-1.20453,6.16567,0.98977,0.16289,67.15498,-9.937916,3.104779,0.531487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.45417,-0.2035,2.0569,50,5.50186,-3.97882,-106.25947,-1.69352,-2.77593,20.0255,-32.40424,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,aa7a4c30-1ffb-11f1-a645-f11c25bc7a4b,70.91878,NA,NA,6.17797,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:15:17,2026-03-14T23:15:17Z,2026-03-14T23:15:17Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,2953fcb0-85bb-4173-93be-c9c73a26c0bf,55.63676,-107.31651,10.01275,5.54611,0.01692,-16.20212,2.26305,-3.83229,-1.38796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,2026-03-14,16:15:35,1,3,"Lopez, Jordy",826308,Left,CAL_BEA,"French, Carter",803542,Left,NOR_TAR,Undefined,9,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.28549,-2.358824,2.46725,2192.425069,164.747641,11:30:00,5.8273,-1.75335,5.46378,-19.70371,17.5682,-4.46988,1.97423,0.18486,80.04106,-6.040352,1.672256,0.439402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94114,9.87142,1.53925,50,5.60618,-5.26312,-126.56029,-5.85688,4.78114,25.28155,-16.12694,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,b4e1b820-1ffb-11f1-a645-f11c25bc7a4b,85.7812,NA,NA,7.24444,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:15:35,2026-03-14T23:15:35Z,2026-03-14T23:15:35Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,f9495e20-4752-4392-8d8e-80a615b6f5ef,55.03653,-127.56242,12.64077,5.82567,-5.21763,-8.06347,1.75163,-5.45264,2.39057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,2026-03-14,16:15:51,1,4,"Lopez, Jordy",826308,Left,CAL_BEA,"French, Carter",803542,Left,NOR_TAR,Undefined,9,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.89833,-2.557826,2.460648,2266.143494,159.698318,11:15:00,5.79108,-1.85718,5.27642,-18.32879,18.83714,-6.51579,1.85745,-0.0876,80.26095,-5.992604,1.305803,0.438777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97358,10.52985,1.63743,50,5.54426,-5.18401,-127.33772,-6.29257,6.51513,26.49109,-14.90913,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,be8add20-1ffb-11f1-a645-f11c25bc7a4b,85.90343,NA,NA,7.63737,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:15:51,2026-03-14T23:15:51Z,2026-03-14T23:15:51Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,78994367-6a72-4eaa-9959-ff6860823ad3,55.22312,-128.41973,13.24555,5.78884,-5.68361,-7.45457,1.85461,-5.45012,3.25757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,2026-03-14,16:16:07,1,5,"Lopez, Jordy",826308,Left,CAL_BEA,"French, Carter",803542,Left,NOR_TAR,Undefined,9,Top,0,2,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.85719,-1.603039,2.961207,2260.423268,153.554515,11:00:00,5.97973,-1.76558,5.16358,-24.18919,15.08182,-6.83882,2.45276,0.45412,78.11035,-6.086417,1.752154,0.451032,49.76341,-54.234358,104.799378,NA,NA,NA,NA,2.94348,2.94348,28.958895,0.043997,4.31532,8.38662,1.49473,50,5.81199,-6.13398,-124.3318,-4.3208,6.71423,26.32796,-19.12525,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,c8055100-1ffb-11f1-a645-f11c25bc7a4b,83.56932,2.62566,NA,7.74684,NA,NA,NA,3.05855,2.62566,-0.40337,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:16:07,2026-03-14T23:16:07Z,2026-03-14T23:16:07Z,GroundBall,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,d5a377c7-796f-492c-860f-839256f5a35d,55.33602,-125.45664,13.16398,5.97914,-3.50369,-9.56262,1.76293,-6.42084,3.35712,NA,3.05914,-10.98044,NA,NA,NA,NA,NA,NA,NA,2.62889,-59.67861,NA,NA,NA,NA,NA,NA,NA,-0.40562,41.56114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,2026-03-14,16:16:31,1,6,"Lopez, Jordy",826308,Left,CAL_BEA,"French, Carter",803542,Left,NOR_TAR,Undefined,9,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.95776,0.164716,1.390744,2210.589928,179.614165,12:00:00,6.01282,-1.454,5.34901,-18.94781,19.05202,-0.11965,4.58839,-0.15923,78.73547,-3.421846,1.369504,0.443672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47728,9.87182,1.32885,50,6.01465,-3.05532,-126.06806,-0.22939,0.76222,27.46196,-16.40853,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,d63e3750-1ffb-11f1-a645-f11c25bc7a4b,84.95561,NA,NA,8.22229,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:16:31,2026-03-14T23:16:31Z,2026-03-14T23:16:31Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,97e3a3bf-ddf6-4ddf-b266-695c1f720286,55.14781,-127.18448,13.73098,6.01041,0.43768,-8.20427,1.45368,-3.08631,0.38111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,2026-03-14,16:16:49,1,7,"Lopez, Jordy",826308,Left,CAL_BEA,"French, Carter",803542,Left,NOR_TAR,Undefined,9,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,88.41664,-3.559432,3.182891,2366.576092,172.936979,11:45:00,5.90567,-1.45498,5.2884,-17.11206,19.85261,-2.30264,1.12777,1.34505,80.51757,-6.773858,2.775245,0.437588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11425,11.4256,1.16656,50,5.56874,-7.01063,-127.86445,-8.51801,3.4788,27.87077,-13.37428,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,e1253380-1ffb-11f1-a645-f11c25bc7a4b,86.13691,NA,NA,7.89907,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:16:49,2026-03-14T23:16:49Z,2026-03-14T23:16:49Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,d26c226e-4fc4-4e4e-9417-c9cbb83f39b1,55.21235,-128.99559,13.93538,5.90343,-7.97521,-6.68714,1.45396,-7.15181,1.7394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,2026-03-14,16:17:39,2,1,"Lopez, Jordy",826308,Left,CAL_BEA,"Schaffner, Jake",835279,Left,NOR_TAR,Undefined,9,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.10924,-4.22455,2.802108,2181.836074,166.399831,11:30:00,5.84276,-1.54797,5.69357,-18.33115,18.91899,-4.28764,0.36618,0.70827,80.01988,-7.656365,2.036488,0.439274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98205,11.18894,1.3152,50,5.47557,-5.99921,-126.10087,-9.88731,4.80927,25.25998,-14.12911,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,fee66380-1ffb-11f1-a645-f11c25bc7a4b,85.80624,NA,NA,7.08936,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:17:39,2026-03-14T23:17:39Z,2026-03-14T23:17:39Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,5f16f1ab-59f8-4546-a60d-546def17a326,54.80806,-127.06035,12.62999,5.84094,-9.35062,-7.06455,1.54655,-6.18188,2.40463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,2026-03-14,16:18:00,2,2,"Lopez, Jordy",826308,Left,CAL_BEA,"Schaffner, Jake",835279,Left,NOR_TAR,Undefined,9,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.43033,-3.386494,1.30884,2223.012036,164.159616,11:30:00,5.72652,-1.9193,5.29045,-18.40595,19.90725,-5.29803,1.00825,-1.13159,79.25552,-6.825171,0.36847800000000003,0.445498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01221,11.26867,1.80413,50,5.40473,-2.62946,-125.22904,-7.99873,4.79334,24.796,-14.24217,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,0b6b0a20-1ffc-11f1-a645-f11c25bc7a4b,84.60741,NA,NA,7.1748,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:18:00,2026-03-14T23:18:00Z,2026-03-14T23:18:00Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,6a96ab77-a857-4676-8fef-bf24cdf324cc,55.20853,-126.25614,12.398,5.72384,-7.40879,-7.12109,1.91717,-2.82801,2.39667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,2026-03-14,16:18:35,2,3,"Lopez, Jordy",826308,Left,CAL_BEA,"Schaffner, Jake",835279,Left,NOR_TAR,Undefined,9,Top,0,2,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.73725,0.564601,1.522597,2341.761424,308.883979,04:15:00,5.41823,-2.13368,4.67831,-52.84152,-4.07197,7.06768,1.55116,-0.09839,71.06133,-8.926291,2.764428,0.502627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.01618,-1.73689,1.97191,50,5.42767,-3.29067,-112.64929,-0.85105,-3.84233,22.11025,-34.3867,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,208c47c0-1ffc-11f1-a645-f11c25bc7a4b,74.99086,NA,NA,6.67592,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:18:35,2026-03-14T23:18:35Z,2026-03-14T23:18:35Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,fd400947-5040-47f5-8114-3de9cb64f722,55.82258,-113.78638,11.05513,5.42597,0.91739,-17.19335,2.13606,-3.09306,-1.92117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,2026-03-14,16:19:42,2,4,"Lopez, Jordy",826308,Left,CAL_BEA,"Schaffner, Jake",835279,Left,NOR_TAR,Undefined,9,Top,0,2,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,75.72052,-0.354609,1.643522,2292.78983,259.960909,02:45:00,5.48825,-2.14366,4.95219,-47.20471,2.59217,7.08859,1.21932,4.5e-4,70.7448,-8.835418,2.894986,0.507893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1604,1.71264,1.97802,50,5.41439,-3.42923,-110.02998,-2.30357,-3.92851,16.96817,-30.04516,CAL_BEA,NOR_TAR,CalBerkeley,D1,ACC,20260314-CalBerkeley-1,4899ba90-1ffc-11f1-a645-f11c25bc7a4b,74.21332,NA,NA,4.97572,NA,NA,NA,NA,NA,NA,f656184f-7e6e-4375-83d4-efb48c69f2ae,2026-03-14,23:19:42,2026-03-14T23:19:42Z,2026-03-14T23:19:42Z,NA,v3,471259,471370,38252,"Olmstead, Lawson",1000235515,Right,CAL_BEA,1dfe0568-e021-4294-b65c-0adcb3370fd1,55.55085,-110.88269,8.48408,5.49222,-0.79368,-15.02258,2.14538,-3.2318,-1.96426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
