player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2026-03-21,15:07:32,5,3,"Domke, Chris",824467,Right,OSU_BUC,"White, Will",1000199141,Right,BUT_BUL,Undefined,1,Top,2,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,79.01625,-0.490683,-2.189482,2325.069327,112.355762,09:45:00,5.59691,1.80767,5.33419,-41.20935,4.35323,-7.26705,1.70208,-0.85314,72.97475,-7.987244,-3.48006,0.48582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06996,2.72689,-1.60448,50,5.5229,4.67178,-114.68867,-2.38051,4.10336,20.51283,-28.52927,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,bdc5cd10-2559-11f1-bf74-31882665332c,77.58514,NA,NA,6.04151,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,19:07:32,2026-03-21T19:07:32Z,2026-03-21T19:07:32Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"Eckelman, Mason",806065,Right,OSU_BUC,d818843d-0f7f-4502-bed1-20a6dcc91b93,55.16557,-115.60888,10.25641,5.60099,-1.10069,-14.26463,-1.80992,4.4877,2.05168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2026-03-21,15:07:54,5,4,"Domke, Chris",824467,Right,OSU_BUC,"White, Will",1000199141,Right,BUT_BUL,Undefined,1,Top,2,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,93.38422,-2.28306,-3.268025,2545.149127,207.844961,01:00:00,5.96398,1.46752,5.89369,-13.28009,18.94092,9.44178,2.73301,-0.78318,85.02646,-4.839052,-1.577344,0.408546,97.44757,12.598658,19.816841,1967.162236,100.76092,16.73851,44.12643,213.79528,208.84029,26.964402,1.99083,-5.76571,10.66575,-1.20954,50,5.77218,7.30909,-135.33387,-5.77466,-10.6641,30.28328,-12.44694,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,cb11e260-2559-11f1-bf74-31882665332c,92.25995,16.75059,NA,8.35776,NA,NA,NA,0.41003,2.69263,0.81609,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,19:07:54,2026-03-21T19:07:54Z,2026-03-21T19:07:54Z,LineDrive,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"Eckelman, Mason",806065,Right,OSU_BUC,a22837d0-32b7-4b5b-8a61-2432ca79a7c9,54.60474,-136.36035999999999,15.14164,5.96077,-5.35275,-6.22347,-1.46342,7.67057,-5.33205,251.324924,0.4101,131.21561,-26.22708,5.79915,-0.99329,0.07797,0.0033,0.00225,-8.7e-4,2.69255,31.18166,-18.49903,1.78999,-0.77011,0.37569,-0.11614,0.01773,-7.8e-4,0.81601,47.2931,1.61578,-0.68654,-0.13432,0.21504,-0.08148,0.01252,-4.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2026-03-21,15:30:12,1,1,"Winders, Max",1000170806,Right,BUT_BUL,"Simpson, Maddix",826246,Right,OSU_BUC,Undefined,2,Bottom,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.20262,1.006162,-1.409599,2425.280208,81.706171,08:45:00,5.6777,1.87537,6.22628,-47.05692,0.94386,-4.79796,2.685,0.17471,69.32625,-7.74227,-2.27653,0.49865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03217,0.70016,-1.76781,50,5.73011,2.89149,-110.62826,0.58121,2.4873,22.01238,-31.31709,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,e82eb4b0-255c-11f1-bf74-31882665332c,75.589,NA,NA,6.87637,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,19:30:12,2026-03-21T19:30:12Z,2026-03-21T19:30:12Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,582c06ed-e6c8-4b7a-beb7-439c48cb1d02,54.27147,-111.47494,11.00619,5.68459,1.78579,-15.65855,-1.87719,2.79581,1.24365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,2026-03-21,15:31:56,2,1,"Winders, Max",1000170806,Right,BUT_BUL,"Cavaco, Steven",838723,Left,OSU_BUC,Undefined,2,Bottom,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.98371,-0.164686,-1.300094,2392.624898,100.774283,09:15:00,5.6385,1.97775,6.29073,-42.82408,3.99276,-12.73327,1.91802,-0.28163,70.31828,-8.128527,-3.604152,0.492462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20075,2.61768,-1.87632,50,5.60614,2.98231,-111.82155,-1.53921,7.76641,22.19618,-28.89543,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,26745360-255d-11f1-bf74-31882665332c,76.53881,NA,NA,6.66544,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,19:31:56,2026-03-21T19:31:56Z,2026-03-21T19:31:56Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,1bbc1447-560d-4106-9981-7a5b0ec8d4f8,54.20762,-112.65365,11.09809,5.64354,-0.45596,-14.44771,-1.98266,2.69115,3.88321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,2026-03-21,15:33:20,3,2,"Winders, Max",1000170806,Right,BUT_BUL,"Vandenheuvel, Miles",838714,Right,OSU_BUC,Undefined,2,Bottom,2,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.1462,-2.302682,-3.788473,2433.212921,178.53612,12:00:00,5.77022,1.77582,6.95747,-21.57926,14.60733,-0.34492,1.87104,-1.70505,79.23532,-6.41051,-3.85141,0.432957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.84484,8.76359,-1.54069,50,5.61941,8.29066,-125.02045,-5.56387,-1.34037,24.63208,-18.27019,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,58a635b0-255d-11f1-bf74-31882665332c,87.058090000000007,NA,NA,6.91088,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,19:33:20,2026-03-21T19:33:20Z,2026-03-21T19:33:20Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,990a8f6b-ec1f-4fca-ac13-b40d262dcee6,53.54076,-125.71613,12.31604,5.76926,-5.04787,-9.1351,-1.77537,8.32852,-0.67019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,2026-03-21,16:24:52,5,3,"Winders, Max",1000170806,Right,BUT_BUL,"Eckelman, Mason",806065,Left,OSU_BUC,Undefined,5,Bottom,2,2,0,Undefined,NA,BallIntentional,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,2d4d7a20-25fa-11f1-a477-ed984a28e5ac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,20:24:52,2026-03-21T20:24:52Z,2026-03-21T20:24:52Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,f0d15064-b2dd-47a6-9f25-0bbaffbb78e9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2026-03-21,16:25:08,5,4,"Winders, Max",1000170806,Right,BUT_BUL,"Eckelman, Mason",806065,Left,OSU_BUC,Undefined,5,Bottom,2,3,0,Undefined,NA,BallIntentional,Walk,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,2d4d7a21-25fa-11f1-a477-ed984a28e5ac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,20:25:08,2026-03-21T20:25:08Z,2026-03-21T20:25:08Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,c44dfdd1-a176-40a1-85d5-c8052de7ba5d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,2026-03-21,16:25:25,6,1,"Winders, Max",1000170806,Right,BUT_BUL,"Harvey, Dane",838717,Left,OSU_BUC,Undefined,5,Bottom,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,4,NA,88.01249,-1.879494,-2.249677,2506.748966,192.356976,12:30:00,5.68831,1.97025,7.04278,-17.55662,16.97111,3.4789,2.516,0.2155,80.56742,-5.274289,-1.612132,0.422917,108.94742,28.815848,23.986426,2482.769901,99.97965,58.66556,45.87008,390.3893,386.08376,28.522278,5.252726,-2.50122,9.95595,-1.83512,50,5.56833,4.90644,-127.95649,-4.59782,-4.14195,26.6918,-15.68725,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,9f4802d0-2564-11f1-bf74-31882665332c,89.12487,93.22946,NA,7.44507,NA,NA,NA,1.84329,2.61647,-0.21007,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,20:25:25,2026-03-21T20:25:25Z,2026-03-21T20:25:25Z,FlyBall,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,6f3895b4-40bb-48c7-a85e-71605cfdf5ea,53.4566,-128.67552,13.3459,5.68649,-4.17524,-7.84362,-1.96879,5.01801,-2.07097,193.926742,1.84481,127.87897,-28.99714,7.22919,-1.64217,0.33833,-0.05442,0.00543,-2.4e-4,2.61573,77.03284,-18.94234,1.46378,-0.15756,-0.02639,0.01348,-0.0018600000000000001,9e-5,-0.21044,56.92072,-9.33422,2.21714,-0.51054,0.11012,-0.0184,0.0018600000000000001,-8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,2026-03-21,16:26:27,7,1,"Winders, Max",1000170806,Right,BUT_BUL,"Simpson, Maddix",826246,Right,OSU_BUC,Undefined,5,Bottom,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.49379,-2.021417,-3.220998,2527.053569,197.52357,12:30:00,5.80023,1.71455,6.99913,-19.52001,14.56032,4.27555,2.33209,-0.86065,81.48716,-5.75357,-2.439077,0.420168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.12106,8.62729,-1.51826,50,5.66924,7.08341,-128.57644,-5.02115,-5.25349,25.28445,-17.65219,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,c41a95f0-2564-11f1-bf74-31882665332c,89.70797,NA,NA,7.00663,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,20:26:27,2026-03-21T20:26:27Z,2026-03-21T20:26:27Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,b16e6d76-bd64-4de5-afad-e738d76bb7da,53.49974,-129.26283,12.64222,5.79905,-4.54196,-8.82609,-1.71248,7.22603,-2.62675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,2026-03-21,16:26:41,7,2,"Winders, Max",1000170806,Right,BUT_BUL,"Simpson, Maddix",826246,Right,OSU_BUC,Undefined,5,Bottom,2,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.58226,-0.541416,-2.261704,2483.082085,175.351048,11:45:00,5.84115,1.70915,6.77659,-19.57682,15.42969,-1.17106,3.71501,-0.45455,80.55817,-4.284059,-2.475124,0.425839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02528,8.63083,-1.56146,50,5.79801,5.07368,-127.37431,-1.6967,0.04179,24.7652,-17.91384,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,cc90b930-2564-11f1-bf74-31882665332c,88.51326,NA,NA,7.0241,NA,NA,NA,NA,NA,NA,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,20:26:41,2026-03-21T20:26:41Z,2026-03-21T20:26:41Z,NA,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,b2e17f1e-1ec1-4870-8d30-77b955652823,53.72174,-128.09588,12.3826,5.83984,-1.17476,-8.95692,-1.70927,5.07247,0.0209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,2026-03-21,16:26:55,7,3,"Winders, Max",1000170806,Right,BUT_BUL,"Simpson, Maddix",826246,Right,OSU_BUC,Undefined,5,Bottom,2,2,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.72408,-0.910991,-3.257304,1832.451872,232.31879,01:45:00,5.51533,2.01547,6.94051,-29.47887,9.92371,11.18375,2.22818,-0.0205,75.57847,-6.505304,-1.21247,0.451787,75.85328,57.15735,67.232861,5490.629765,17.30293,101.90842,108.63057,193.48166,74.2316,85.10619,4.886792,-6.91103,5.94355,-1.81573,50,5.44833,6.46355,-120.16935,-2.66219,-10.05884,24.30011,-23.52337,OSU_BUC,BUT_BUL,NickSwisherField,D1,BIG10,20260321-NickSwisherField-1,d4771f90-2564-11f1-bf74-31882665332c,83.42964,101.92042,NA,7.14561,NA,NA,NA,0.85328,2.16355,0.03232,c12c40e0-04a6-4658-b12d-a12d51028634,2026-03-21,20:26:55,2026-03-21T20:26:55Z,2026-03-21T20:26:55Z,Popup,v3,4144,471250,770efc35743243bcb57def5e0ea15119,"White, Will",1000199141,Right,BUT_BUL,cb99e02a-8cec-45fb-88ab-a7d930ba4b7a,53.55858,-120.88681,12.15005,5.51668,-1.96766,-11.76168,-2.01095,6.76053,-5.02942,NA,0.89088,22.50508,-9.21748,-2.73478,5.12124,-2.68768,0.69963,-0.09036,0.00461,2.17894,93.18086,-25.4477,1.39433,0.51615,-0.25387,0.03479,6e-5,-2.4e-4,0.04122,55.4794,-4.66594,-0.02703,0.22545,0.01772,-0.04133,0.00978,-7.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
